Sample ID	sample1	sample2	sample3	sample4
0610007C21RIK:NM_027855	506	610	567	622
0610007L01RIK:NM_001081394	2485	2978	2204	2928
0610007P08RIK:NM_001013608:NM_023507	577	696	413	701
0610007P14RIK:NM_021446	452	497	417	442
0610007P22RIK:NM_026676:NM_001163718	562	659	578	727
0610008F07RIK:NR_027970	0	0	0	0
0610009B22RIK:NM_025319	194	212	148	166
0610009D07RIK:NM_025323	669	717	648	645
0610009O20RIK:NM_024179	1163	1286	1358	1298
0610010B08RIK:NM_001100415:NM_001101804:NM_001099349:NM_001101804:NM_001100415:NM_001099349:NM_001177543:NM_001177543	0	1	0	0
0610010B08RIK:NM_001101804:NM_001100415:NM_001099349:NM_001100415:NM_001101804:NM_001099349:NM_001100416:NM_001099327:NM_001177543:NM_001177543	0	0	0	0
0610010B08RIK:NM_001113806	8	12	11	10
0610010F05RIK:NM_027860	327	352	222	341
0610010K14RIK:NM_026757:NM_001177607:NM_001177601:NM_001177603:NM_001177606:NM_145758	843	978	855	870
0610010O12RIK:NM_001081365	6	1	1	0
0610011F06RIK:NM_026686	316	381	365	409
0610011L14RIK:NM_026661:NM_001164818	1113	1386	1241	1296
0610012H03RIK:NM_028747:NM_001159638	1	2	3	2
0610030E20RIK:NM_026696	1273	1447	1255	1593
0610031J06RIK:NM_020003	2049	2321	2140	2201
0610037L13RIK:NM_028754	239	250	233	262
0610037P05RIK:NM_025345	896	843	841	784
0610039K10RIK:NR_028113	34	27	24	37
0610040J01RIK:NM_029554	0	1	0	0
0910001L09RIK:NM_001081108	783	963	849	884
1100001E04RIK:NM_001081123	0	0	0	0
1100001G20RIK:NM_183249	0	0	0	0
1110002B05RIK:NM_134054	2086	2768	1146	1939
1110002N22RIK:NM_183275	189	204	167	229
1110003E01RIK:NM_133697	2151	2570	1907	2140
1110004E09RIK:NM_026502	241	306	252	354
1110004F10RIK:NM_019772	1282	1610	945	1277
1110007A13RIK:NM_145955	3369	4054	3116	4351
1110007C09RIK:NM_026738	680	645	747	623
1110007L15RIK:NM_026269:NM_001163316	712	901	833	979
1110008F13RIK:NM_026124	685	860	784	948
1110008J03RIK:NM_029096	128	213	162	207
1200009I06RIK:NM_028807	0	1	1	4
1200009O22RIK:NM_025817	0	0	0	0
1200011I18RIK:NM_026177	1884	1983	1353	1883
1200011M11RIK:NM_024262	1320	1679	1285	1786
1200014J11RIK:NM_025818	1898	2063	1691	1963
1200014M14RIK:NM_026173	653	811	602	748
1200016B10RIK:NM_025819	691	667	483	702
1700011F14RIK:NM_029372	0	0	0	0
1700011H14RIK:NM_025956	0	1	1	0
1700011H22RIK:NM_027034	0	0	0	0
1700011I03RIK:NM_029290	0	0	0	0
1700011L22RIK:NM_026315	0	0	0	0
1700012A03RIK:NM_029587	0	0	0	0
1700012A16RIK:NM_001033162	1	1	2	2
1700012B07RIK:NM_001162428:NM_027038	0	2	0	0
1700020C07RIK:NM_029370	1	1	1	1
1700020C11RIK:NM_026443	9	29	15	26
1700020L24RIK:NM_025492	52	66	92	54
1700020N01RIK:NR_027968	0	0	0	0
1700020O03RIK:NM_027405	1618	1820	1629	1826
1700021C14RIK:NM_029801	46	43	36	48
1700021F05RIK:NM_026411	204	247	152	196
1700021F07RIK:NM_028158	0	0	0	0
1700029I15RIK:NM_183112	26	15	16	14
1700029J07RIK:NM_001033148	6	7	11	17
1700029J11RIK:NM_029608	6	10	9	8
1700029P11RIK:NM_025503	0	1	0	0
1700030F18RIK:NM_028180:NM_001162867	0	0	0	0
1700030J22RIK:NM_027103	8	11	10	11
1700030K09RIK:NM_028170	141	210	146	171
1700031F05RIK:NR_027707	0	0	0	0
1700034E13RIK:NM_030097	0	0	0	0
1700034F02RIK:NM_001163521:NM_028504	3	3	0	1
1700034H14RIK:NM_025969	275	295	221	300
1700034H15RIK:NR_030669	5	1	3	5
1700034J05RIK:NM_001164236:NM_028509	0	0	0	0
1700034O15RIK:NM_029671	0	0	0	0
1700067K01RIK:NM_183097	9	7	13	10
1700067P10RIK:NM_026625	0	0	0	1
1700072E05RIK:NM_028554	0	0	0	0
1700074P13RIK:NM_028550	0	0	0	0
1700080E11RIK:NM_028562	0	0	0	0
1700080O16RIK:NM_028851	0	0	0	0
1700081L11RIK:NM_001081045	8727	9559	7825	9545
1700084C01RIK:NM_001033185	0	0	0	0
1700086L19RIK:NR_030733:NR_030734:NR_030735	0	0	0	0
1700088E04RIK:NM_138581	4	5	6	2
1700090G07RIK:NM_030104	0	1	0	0
1700093K21RIK:NM_026105:NM_001110133	0	0	1	1
1700094C09RIK:NM_024279	0	0	0	0
1700094D03RIK:NM_028567	221	257	321	331
1700101E01RIK:NM_001085514:NM_001166705	8	3	4	12
1700102P08RIK:NM_053216	25	30	37	41
1700106J16RIK:NM_028859	0	0	1	0
1700106N22RIK:NM_028576	46	68	54	52
1810030O07RIK:NM_175141	1311	1517	1064	1467
1810031K17RIK:NM_026977	4329	4789	4315	4531
1810032O08RIK:NR_027821:NR_027819:NR_027820:NR_028569:NR_028567:NR_028570	125	224	132	257
1810033B17RIK:NM_026985	0	0	0	0
1810035L17RIK:NM_026958	81	69	78	81
1810037I17RIK:NM_024461	295	329	236	281
1810041L15RIK:NM_001163145	4	0	0	0
1810043G02RIK:NM_026431	294	367	356	388
1810043H04RIK:NM_001110242	175	229	166	207
1810046J19RIK:NM_025559	850	1004	860	953
1810046K07RIK:NM_027217	0	2	0	0
1810048J11RIK:NM_026327	257	298	236	285
1810049H13RIK:NM_025560	157	152	163	160
1810055G02RIK:NM_028077	66	98	97	111
1810058I24RIK:NR_015608:NR_027875	1314	1480	1154	1237
1810063B05RIK:NM_174987	279	314	256	301
1810063B07RIK:NM_026209	415	549	476	512
1810065E05RIK:NM_027239	0	0	0	0
1810074P20RIK:NM_026194	740	897	683	900
2010001E11RIK:NM_001163503	2	0	0	1
2010001M09RIK:NM_027222	83	75	95	71
2010002M12RIK:NM_053217	3	5	1	1
2010002N04RIK:NM_134133	980	1054	861	970
2010003K11RIK:NM_027237	0	0	1	0
2010005H15RIK:NM_029733	0	0	0	0
2010007H12RIK:NM_027242	1314	1372	1452	1610
2010011I20RIK:NM_025912	518	611	559	603
2010012O05RIK:NM_025563	135	116	95	101
2010015L04RIK:NM_001166029:NM_177674	40	35	41	57
2010106E10RIK:NM_001168590:NM_026333	0	0	0	0
2010106G01RIK:NM_023220	2728	2821	1829	2532
2010107E04RIK:NM_027360	272	254	156	198
2010107G12RIK:NM_001025573	302	298	341	349
2010107G23RIK:NM_027251	1	2	1	4
2010107H07RIK:NR_024069	372	475	254	360
2010109I03RIK:NM_025929	24	34	28	46
2010109K11RIK:NM_001162903	2089	2250	1850	2331
2010110P09RIK:NM_027363	0	0	0	0
2310003C23RIK:NM_029607	1148	1266	1086	1221
2310003F16RIK:NM_026318	743	733	496	519
2310003H01RIK:NM_027980	715	952	764	1047
2310003L22RIK:NM_027093	86	109	73	91
2310004I24RIK:NM_025510	259	252	229	249
2310004N24RIK:NM_027107	915	999	1038	1047
2310005G13RIK:NM_183281	0	3	1	3
2310007A19RIK:NM_025506	1	1	1	2
2310007B03RIK:NM_001159940:NM_172411	0	1	0	1
2310007L24RIK:NM_029345	8	3	2	7
2310008H04RIK:NM_146068	90	135	123	130
2310008H09RIK:NM_001168220:NM_023197:NM_001168219:NM_001168218	1439	1827	1371	1781
2310009B15RIK:NM_001081226	65	57	50	62
2310010M20RIK:NM_183283	0	0	0	0
2310011J03RIK:NM_025521	1753	2085	1658	1847
2310014H01RIK:NM_001146711:NM_001146710:NM_175242	4527	5241	5060	5385
2310014L17RIK:NM_029809	9	26	16	28
2310016C08RIK:NM_023516	377	534	414	481
2310016E02RIK:NM_024460:NM_001134692	447	499	302	345
2310016M24RIK:NM_183256	1239	1576	1138	1227
2310021H06RIK:NM_025990	0	0	0	0
2310021P13RIK:NM_027996	5313	6550	5573	7234
2310022A10RIK:NM_175107:NM_001122767	1136	1451	1292	1529
2310022B05RIK:NM_175149	299	509	405	462
2310028H24RIK:NM_001159583:NM_027993	237	267	241	344
2310028O11RIK:NM_001163006	782	844	711	851
2310030G06RIK:NM_025865	0	0	0	1
2310030N02RIK:NM_001085493	68	84	67	82
2310033E01RIK:NM_001037143	0	0	0	0
2310033P09RIK:NM_024210	670	825	642	714
2310035C23RIK:NM_173187:NM_029349	1383	1462	1185	1527
2310035K24RIK:NM_027129	414	541	507	528
2310036O22RIK:NM_026760	3630	4015	3868	4309
2310037I24RIK:NM_133714	780	952	687	916
2410015M20RIK:NM_153152	713	645	456	475
2410016O06RIK:NM_023633	995	1442	1152	1616
2410017P07RIK:NM_026643:NM_029132	293	263	244	244
2410018L13RIK:NR_015504	1	1	1	3
2410022L05RIK:NM_025556	8	4	11	7
2410042D21RIK:NM_024254	363	413	221	327
2410066E13RIK:NM_026629	879	1093	998	1032
2410075B13RIK:NM_146059:NM_001163518	290	326	280	329
2410076I21RIK:NM_028598	11	8	13	9
2410089E03RIK:NM_001162906	1097	1263	983	1321
2410091C18RIK:NM_028611	273	228	186	207
2410127L17RIK:NM_026120	79	73	72	72
2410129H14RIK:NM_175245	1467	1640	789	1468
2410131K14RIK:NM_001081236	337	511	418	477
2410137M14RIK:NM_029747	0	0	0	0
2500003M10RIK:NM_023215	4892	6219	3704	5707
2510002D24RIK:NM_001033164	542	642	568	703
