"","x"
"DTX1:NM_008052",4.64197576898059
"DLL1:NM_007865",3.19928344843634
"FN1:NM_010233",3.01512466040708
"COL6A1:NM_009933",2.83578532079657
"COL6A2:NM_146007",2.63555210323374
"COL1A1:NM_007742",2.49294381673398
"BGN:NM_007542",2.32063343083393
"LOX:NM_010728",2.28974211214213
"COL1A2:NM_007743",2.21455398847764
"GAS1:NM_008086",2.19173928397122
"COL2A1:NM_031163:NM_001113515",2.12761690962685
"FBLN2:NM_001081437:NM_007992",2.03444476735615
"SPP1:NM_009263",1.95910678869812
"THBS2:NM_011581",1.91015885391555
"COL4A1:NM_009931",1.90257794101736
"CYP1B1:NM_009994",1.88598892649589
"HSPG2:NM_008305",1.800268264737
"COL5A1:NM_015734",1.76940925936472
"LRP1:NM_008512",1.72761155654438
"CXCL12:NM_021704:NM_013655:NM_001012477",1.70304428468163
"FAT1:NM_001081286",1.66985444354406
"AEBP1:NM_009636",1.65652106393005
"NOTCH3:NM_008716",1.63307759569464
"MYC:NM_010849:NM_001177353:NM_001177354:NM_001177352",1.61972103165617
"IL2RA:NM_008367",1.6157157474545
"FSTL1:NM_008047",1.59383323919368
"SPARC:NM_009242",1.5687444709209
"WISP2:NM_016873",1.56536514077793
"HES1:NM_008235",1.56232017944836
"IL1RN:NM_031167:NM_001159562:NM_001039701",1.55693838505571
"DEPDC6:NM_145470:NM_001037937",1.55216932972695
"FLNC:NM_001081185",1.52700478289995
"COL4A2:NM_009932",1.52650272817996
"FBN1:NM_007993",1.50689567314774
"PTRF:NM_008986",1.49962288063553
"ATOH8:NM_153778",1.49369203380273
"SERPINH1:NM_001111044:NM_001111043:NM_009825",1.48126984649049
"NID1:NM_010917",1.46034245701456
"EHD2:NM_153068",1.4014210482826
"COL3A1:NM_009930",1.40135101974014
"TIMP3:NM_011595",1.3965304741538
"NOTCH1:NM_008714",1.36674680086039
"SDC3:NM_011520",1.36660481635036
"RSPO2:NM_172815",1.3564117978355
"PRRX1:NM_011127:NM_175686:NM_001025570",1.35536852862251
"VCAN:NM_001081249:NM_019389:NM_001134474:NM_001134475:NM_172955",1.34739018084758
"COL5A2:NM_007737",1.3304858249126
"COL12A1:NM_007730",1.29750593873594
"SLCO2A1:NM_033314",1.26397842256182
"GAS6:NM_019521",1.26100561392011
