"","PC1","PC2"
"DTX1:NM_008052",0.24121801724107,-0.317168310907513
"DLL1:NM_007865",0.166249211204621,-0.21324147150448
"FN1:NM_010233",0.156679489190391,0.055857739895476
"COL6A1:NM_009933",0.147360207473487,0.0299216417660433
"COL6A2:NM_146007",0.136955185532386,0.023130797812132
"COL1A1:NM_007742",0.12954461515813,0.0589543971394699
"BGN:NM_007542",0.120590589608363,0.0373576904729034
"LOX:NM_010728",0.118985337229711,0.0441075181294959
"COL1A2:NM_007743",0.11507822288594,0.0580449641459346
"GAS1:NM_008086",0.113892667842384,-0.0265051403377895
"IL2RA:NM_008367",0.0839598844161431,-0.145985398389303
"COL2A1:NM_031163:NM_001113515",0.110560579789814,0.0460365684720061
"FBLN2:NM_001081437:NM_007992",0.105718934650082,0.0443468418146273
"SPP1:NM_009263",0.101804033164323,-0.0410329749923726
"COL4A1:NM_009931",0.0988665390383093,0.0485672094399682
"MYC:NM_010849:NM_001177353:NM_001177354:NM_001177352",0.084168017065191,-0.102550834117991
"CXCL12:NM_021704:NM_013655:NM_001012477",0.08849786945675,0.0832563912380666
"THBS2:NM_011581",0.0992604774966699,0.0209567940208955
"CYP1B1:NM_009994",0.0980044989523631,0.0314996850100929
"HES1:NM_008235",0.081185209647272,-0.105096972544795
"EPAS1:NM_010137",0.0625119720699143,-0.132030187755963
"HSPG2:NM_008305",0.0935500663798701,0.0332890615379318
"NOTCH3:NM_008716",0.0848620844310835,-0.070380706003812
"DEPDC6:NM_145470:NM_001037937",0.0806577256695501,-0.0888437990581524
"COL5A1:NM_015734",0.0919464931471798,0.0298181457095964
"LRP1:NM_008512",0.0897744958121384,0.000424535775540207
"AEBP1:NM_009636",0.0860803128765634,0.037019216709607
"FAT1:NM_001081286",0.0867731754750946,0.00954877319372473
"FSTL1:NM_008047",0.0828227704979256,0.0471390166450655
"FLNC:NM_001081185",0.0793500622106109,0.0514827571610897
"SERPINH1:NM_001111044:NM_001111043:NM_009825",0.076973468443565,0.0631831754740679
"SPARC:NM_009242",0.0815190448347671,0.0280474920425756
"NOTCH1:NM_008714",0.0710223339762326,-0.0786151331975475
"WISP2:NM_016873",0.0813434395844906,0.0279089359135429
"TIMP3:NM_011595",0.0725700280994984,0.0725647440914311
"IL1RN:NM_031167:NM_001159562:NM_001039701",0.0809055473144206,-0.0211476825532132
"PTRF:NM_008986",0.0779271749528511,0.0335412593414563
"COL4A2:NM_009932",0.0793239731808246,0.0267258896270325
"AW011738:NR_030671",0.0644551812664083,-0.0885450025067712
"ATOH8:NM_153778",0.0776189813765014,0.0323396773574035
"FBN1:NM_007993",0.0783051020849406,0.00874511091138925
"COL3A1:NM_009930",0.0728205254106058,-0.0458071542310169
"NID1:NM_010917",0.0758859868093115,0.0263862568700038
"SDC3:NM_011520",0.0710149558201001,0.0364050348577865
"EHD2:NM_153068",0.0728241644098173,0.0167375182214542
"SERPINE1:NM_008871",0.00891359788314139,0.0625615097365032
"SLCO2A1:NM_033314",0.0656820250901084,0.0556004287411464
"RSPO2:NM_172815",0.0704852805614985,-0.0104823703705645
"PRRX1:NM_011127:NM_175686:NM_001025570",0.0704310675833337,-0.00255081262504617
"RASAL1:NM_013832",0.0600000079152205,-0.0650818689422279
"COL5A2:NM_007737",0.0691380499651441,0.0158511657313496
"VCAN:NM_001081249:NM_019389:NM_001134474:NM_001134475:NM_172955",0.0700164766145506,-0.0104354506396777
"RUNDC3B:NM_198620",0.0073766226868824,-0.126073541338786
"AHR:NM_013464",0.0369880330207626,-0.104930860512732
"COL12A1:NM_007730",0.0674242661911027,0.00396812416050778
"TNC:NM_011607",0.0620878320243904,0.0459414898765024
"SNAI1:NM_011427",0.0579644488485548,0.0578538334715512
"GAS6:NM_019521",0.0655275445322859,0.0103576492915894
"D8ERTD82E:NM_172911",0.0548930696996673,-0.0665063006425878
"CALD1:NM_145575",0.0651918199295365,0.00952268541988665
"ECM1:NM_007899",0.0638335062292,-0.0176575678781446
"MMP14:NM_008608",0.0641078171484235,0.0126139361467278
"ACTA2:NM_007392",0.0377205394148475,0.0952704015534992
"EGR1:NM_007913",0.0565945814784135,-0.0442547468378453
"MMP2:NM_008610",0.058670691174962,0.0337776412300529
"SERPINF1:NM_011340",0.0602461652436265,0.020995094555882
"TMEM108:NM_178638",-0.00380036993293664,-0.0952792755134113
"6330406I15RIK:NM_027519",0.0603940964025657,0.00128366125003018
"FSCN1:NM_007984",0.0571640216331972,0.0372122459594052
"ARHGEF10L:NM_001112723:NM_172415:NM_001112722",0.0520160675851816,-0.0452827963279297
"CSF1:NM_007778:NM_001113529:NM_001113530",0.0562068285658363,0.0286756979216826
"CD160:NM_018767:NM_001163497:NM_001163496",0.0519922227531132,-0.0502335919825133
"PRELP:NM_054077",0.0599747693477325,0.0110259737830819
"LIMA1:NM_023063:NM_001113545",0.0563679141790018,0.00409767875774182
"CPE:NM_013494",0.0574541044696654,0.0334625605292827
"MGP:NM_008597",0.0595259853964514,-0.0143155539023871
"S1PR3:NM_010101",0.056578021705034,0.0107100351172735
"CSPG4:NM_139001",0.047466011657025,0.0636285447312005
"SNED1:NM_172463",0.0583840142356625,-0.00208564523906757
"PPAP2B:NM_080555",0.0580335107108097,0.0159091869351937
