"","x"
"DTX1:NM_008052",5.7124706677333
"DLL1:NM_007865",3.90459312706688
"FN1:NM_010233",3.07160723124223
"COL6A1:NM_009933",2.85312629773538
"COL6A2:NM_146007",2.6467128422721
"COL1A1:NM_007742",2.5686063313074
"BGN:NM_007542",2.35353281685506
"LOX:NM_010728",2.33608337949152
"COL1A2:NM_007743",2.29684450970521
"IL2RA:NM_008367",2.22684127717933
"GAS1:NM_008086",2.20932799919081
"COL2A1:NM_031163:NM_001113515",2.18180684048034
"FBLN2:NM_001081437:NM_007992",2.08702292962639
"SPP1:NM_009263",2.00589692623292
"COL4A1:NM_009931",1.96969793667851
"MYC:NM_010849:NM_001177353:NM_001177354:NM_001177352",1.9448138904722
"THBS2:NM_011581",1.92278437212036
"CYP1B1:NM_009994",1.91475468019207
"CXCL12:NM_021704:NM_013655:NM_001012477",1.91419374966863
"HES1:NM_008235",1.91256510287664
"EPAS1:NM_010137",1.8351921960677
"HSPG2:NM_008305",1.83386784287003
"DEPDC6:NM_145470:NM_001037937",1.81079072079851
"COL5A1:NM_015734",1.79688039171283
"NOTCH3:NM_008716",1.79241443072237
"LRP1:NM_008512",1.72761730410657
"AEBP1:NM_009636",1.70148914422365
"FAT1:NM_001081286",1.67286002003146
"FSTL1:NM_008047",1.66887697466543
"SERPINH1:NM_001111044:NM_001111043:NM_009825",1.62297287610037
"FLNC:NM_001081185",1.61981247666637
"NOTCH1:NM_008714",1.59655638187172
"SPARC:NM_009242",1.59613264778161
"WISP2:NM_016873",1.59254323133973
"TIMP3:NM_011595",1.59075602807155
"IL1RN:NM_031167:NM_001159562:NM_001039701",1.57268421313963
"COL4A2:NM_009932",1.55206780733806
"AW011738:NR_030671",1.54997057432122
"PTRF:NM_008986",1.54039974462721
"ATOH8:NM_153778",1.53178193569756
"FBN1:NM_007993",1.50968916243011
"NID1:NM_010917",1.4863769246572
"COL3A1:NM_009930",1.48154999198973
"SDC3:NM_011520",1.41902889448062
"EHD2:NM_153068",1.41239135814729
"SLCO2A1:NM_033314",1.39221966883424
"RSPO2:NM_172815",1.3608675048837
"PRRX1:NM_011127:NM_175686:NM_001025570",1.35563298817843
"VCAN:NM_001081249:NM_019389:NM_001134474:NM_001134475:NM_172955",1.35183562448552
"RASAL1:NM_013832",1.34160181581151
