"","mod_log2FC","mod_log2_VIT","mod_log2_VITB"
"NM_001033764",0.436214921084543,6.00511595780625,6.4413308788908
"NM_172499",0.483694702401724,8.10680985180245,8.59050455420417
"NM_008783",0.251592072229734,11.5113017866398,11.7628938588696
"NM_001011874",1.68144197975896,-7.99544058498017,-6.3139986052212
"NM_001195662",1.81282089735082,-5.22156852922218,-3.40874763187137
"NM_011283",1.5811068850963,-4.98985451696767,-3.40874763187137
"NM_011441",1.31684362055594,-4.50274232893477,-3.18589870837883
"NR_033530",-0.476145508559225,-2.13792928846598,-2.6140747970252
"NM_001177658",-0.476145508559225,-2.13792928846598,-2.6140747970252
"NM_025300",-0.476145508559225,-2.13792928846598,-2.6140747970252
"NM_021374",-0.711877465946708,-1.50459862006398,-2.21647608601069
"NM_001177795",-0.711877465946708,-1.50459862006398,-2.21647608601069
"NM_010342",-0.819457671753016,-0.984939296109911,-1.80439696786293
"NM_027671",-0.186075558595606,-0.102093254212831,-0.288168812808437
"NR_015470",0.196958373363644,0.176993379173423,0.373951752537067
"NM_008651",0.165601368797857,0.20835038373921,0.373951752537067
"NM_173443",0.151175140153748,0.285503158118726,0.436678298272474
"NR_004410",0.531828302128275,14.8866618927318,15.4184901948601
"NR_024067",0.213729904166405,0.661269667771583,0.874999571937987
"NM_145692",0.826108430583304,1.94045285582783,2.76656128641114
"NM_027033",0.826108430583304,1.94045285582783,2.76656128641114
"NM_013715",0.826108430583304,1.94045285582783,2.76656128641114
"NM_001102430",0.821690084844271,1.97963828775107,2.80132837259534
"NM_177834",0.842026356194749,2.02811566711273,2.87014202330748
"NM_172841",0.785115479163315,2.33518041548631,3.12029589464962
"NM_001081209",0.844376002150256,2.38879783654506,3.23317383869531
"NM_008678",0.892070312870809,2.38879783654506,3.28086814941586
"NM_001077695",0.892070312870809,2.38879783654506,3.28086814941586
"NM_028173",0.880930632408047,2.49417253205657,3.37510316446462
"NM_145381",0.906550042966582,2.5459694413179,3.45251948428448
"NR_004447",0.884358292972971,2.61415122839584,3.49850952136881
"NM_010164",0.881108535586886,2.6478768080712,3.52898534365808
"NM_001252192",0.881108535586886,2.6478768080712,3.52898534365808
"NM_010827",0.92154705211337,2.69802323768156,3.61957028979493
"NM_177781",0.879852994389758,2.91754167667997,3.79739467106973
"NM_001033288",0.793463947400181,3.12038962856183,3.91385357596201
"NM_001243238",0.799431142545417,3.14330865532556,3.94273979787098
"NM_011291",0.784204616407807,3.15853518146317,3.94273979787098
"NM_001111272",0.442549101650977,4.14477272734232,4.5873218289933
"NM_025303",0.442549101650977,4.14477272734232,4.5873218289933
"NM_001271016",0.488185965325025,4.05800469892754,4.54619066425257
"NM_001271017",0.488185965325025,4.05800469892754,4.54619066425257
"NM_025773",0.488185965325025,4.05800469892754,4.54619066425257
"NR_073122",0.488185965325025,4.05800469892754,4.54619066425257
"NM_026456",0.509890690632922,4.10481097981153,4.61470167044446
"NM_020604",0.386208351958643,4.29668831220227,4.68289666416091
"NM_030033",0.201878320499295,4.57587062357096,4.77774894407026
"NR_002879",0.215369936609974,4.57587062357096,4.79124056018094
"NM_001039123",0.215369936609974,4.57587062357096,4.79124056018094
"NM_183124",0.215369936609974,4.57587062357096,4.79124056018094
"NM_001040027",0.208929374492804,4.58231118568813,4.79124056018094
"NM_153179",0.217107403534177,4.76144203186782,4.97854943540199
"NM_145856",0.204989223561329,4.78682473680671,4.99181396036804
"NM_008563",0.204989223561329,4.78682473680671,4.99181396036804
"NR_040492",0.21246862312047,4.80582739806349,5.01829602118396
"NM_177409",0.21471309596024,4.8563569221913,5.07107001815154
"NR_002858",0.40968875438705,5.46884364935392,5.87853240374097
"NM_023872",0.40968875438705,5.46884364935392,5.87853240374097
"NM_001160139",0.40968875438705,5.46884364935392,5.87853240374097
"NM_053270",0.453635815872969,5.5926396551102,6.04627547098317
"NM_183018",0.453635815872969,5.5926396551102,6.04627547098317
"NM_001012625",0.453635815872969,5.5926396551102,6.04627547098317
"NM_001012624",0.453635815872969,5.5926396551102,6.04627547098317
"NM_001012623",0.453635815872969,5.5926396551102,6.04627547098317
"NM_025746",0.4953789128677,5.62187415094944,6.11725306381714
"NM_001081079",0.460569000908963,5.66846085696439,6.12902985787336
"NM_028534",0.449614419721142,5.72637217382762,6.17598659354876
"NM_026503",0.473134466508666,5.73791193829374,6.21104640480241
"NM_026604",0.479026461596133,5.74367654123021,6.22270300282634
"NM_007733",0.496533585446832,5.74943763086274,6.24597121630957
"NM_175642",0.434769822408134,5.90367486555327,6.33844468796141
"NM_001204913",0.44059718073731,5.90933927398361,6.34993645472092
"NM_001013750",0.521254315567701,6.0777011297695,6.5989554453372
"NM_001081080",0.662401047011032,6.23212626382382,6.89452731083485
"NR_002688",0.66199977811684,6.25397475756518,6.91597453568202
"NM_011200",0.66199977811684,6.25397475756518,6.91597453568202
"NR_033445",0.682911537490693,6.2757702934768,6.95868183096749
"NM_001199956",0.675533046448788,6.36781074398135,7.04334379043014
"NM_001164286",0.675533046448788,6.36781074398135,7.04334379043014
"NM_008922",0.752286685118412,6.41615078464281,7.16843746976123
"NM_145392",0.756461170653434,6.44289039074671,7.19935156140014
"NM_133817",0.776990177606558,6.44289039074671,7.21988056835327
"NM_001161816",0.649523615013454,6.58059728420961,7.23012089922306
"NM_177235",0.644272180745642,6.58584871847742,7.23012089922306
"NR_039562",0.683028608306344,6.64860489029118,7.33163349859752
"NM_027159",0.590472673113844,6.71087761211601,7.30135028522985
"NM_009356",0.714177649692918,6.74697914456427,7.46115679425719
"NR_033627",0.714177649692918,6.74697914456427,7.46115679425719
"NM_174997",0.713741309554262,6.75726342657959,7.47100473613385
"NM_001160236",0.713741309554262,6.75726342657959,7.47100473613385
"NM_001160235",0.713741309554262,6.75726342657959,7.47100473613385
"NM_198899",0.903599639776044,6.8644276520187,7.76802729179474
"NM_153408",0.888413333460102,6.87961395833464,7.76802729179474
"NM_172652",0.853098710022898,6.91492858177184,7.76802729179474
"NM_001013374",0.80794206867234,6.9600852231224,7.76802729179474
"NM_026241",0.787962276632804,6.98006501516194,7.76802729179474
"NM_153502",0.787962276632804,6.98006501516194,7.76802729179474
"NM_001126047",0.782975988475068,6.98505130331968,7.76802729179474
"NM_001126046",0.743210672194996,7.02481661959975,7.76802729179474
"NM_027957",0.743210672194996,7.02481661959975,7.76802729179474
"NM_201365",0.752526468970878,7.02481661959975,7.77734308857062
"NM_146107",0.745763604368618,7.05942847001321,7.80519207438182
"NM_018872",0.743934435149251,7.08895943886836,7.83289387401761
"NM_198006",0.752619516823241,7.41004710624202,8.16266662306526
"NM_173870",0.752619516823241,7.41004710624202,8.16266662306526
"NR_024017",0.752619516823241,7.41004710624202,8.16266662306526
"NM_028096",0.737918437537505,7.43336136100081,8.17127979853832
"NM_207228",0.732571301292813,7.44730618468007,8.17987748597289
"NM_026913",0.727241552600685,7.46121815466557,8.18845970726626
"NM_001033427",0.735103311796685,7.47047452736412,8.2055778391608
"NM_027111",0.73048061249313,7.47509722666767,8.2055778391608
"NM_172054",0.72192925767669,7.47509722666767,8.19702648434436
"NM_019570",0.729782152419642,7.48433164127628,8.21411379369592
"NM_010678",0.71595802206985,7.49815577162607,8.21411379369592
"NM_001029878",0.715758233156446,7.55767788608765,8.2734361192441
"NM_145142",0.720314738732982,7.55312138051112,8.2734361192441
"NM_018775",0.613814489175304,7.70153757146935,8.31535206064466
"NR_028555",-1.35702552944739,13.2197393849032,11.8627138554558
"NM_001033135",0.468221399742905,7.88039125752741,8.34861265727031
"NM_170597",0.450568432576798,7.91458429487072,8.36515272744751
"NM_001145660",0.45881598884344,7.91458429487072,8.37340028371416
"NM_001177348",0.511496278499463,7.92734792122232,8.43884419972178
"NR_040465",0.519610038041419,7.92734792122232,8.44695795926374
"NR_037980",0.476328573778661,7.99488223029797,8.47121080407664
"NR_040475",0.473803921429091,8.15574407159625,8.62954799302534
"NR_027826",0.438851890666989,8.26007943017688,8.69893132084387
"NM_001013025",0.267304967211199,8.56700005927378,8.83430502648498
"NM_010212",0.278290329971743,8.58549365790557,8.86378398787732
"NM_026430",0.349638655494704,8.64414175265306,8.99378040814776
"NM_001013799",0.312202196922762,8.75195186922977,9.06415406615253
"NM_029368",0.312202196922762,8.75195186922977,9.06415406615253
"NM_023645",0.305113597975666,8.75904046817687,9.06415406615253
"NM_207281",0.272900994741882,8.84662158237007,9.11952257711195
"NR_040602",0.319065069313673,9.05252250775122,9.3715875770649
"NM_007737",0.260363616003794,9.1112239610611,9.3715875770649
"NM_016917",-0.0471564432396008,9.89457206366407,9.84741562042447
"NR_037691",-0.0306562019184184,9.89457206366407,9.86391586174565
"NR_037690",-0.0306562019184184,9.89457206366407,9.86391586174565
"NM_172653",-0.118274766189721,9.8817907191628,9.76351595297307
"NR_045151",-0.122975810168079,9.99237128363971,9.86939547347163
"NM_028696",-0.148697780136548,10.0071238088735,9.85842602873692
"NM_001161817",-0.12728735765015,10.0509211277065,9.9236337700563
"NM_010863",-0.12728735765015,10.0509211277065,9.9236337700563
"NM_001081081",-0.120858658599758,10.108260051577,9.98740139297725
"NM_001113383",-0.115608605452515,10.108260051577,9.99265144612449
"NM_008667",-0.126868016094303,10.1247597754023,9.99789175930798
"NM_178081",-0.130479516300056,10.138822761149,10.0083432448489
"NM_133829",-0.130479516300056,10.138822761149,10.0083432448489
"NM_008384",-0.132816231619326,10.1411594764683,10.0083432448489
"NM_144953",-0.126538160582022,10.1504860768889,10.0239479163069
"NM_027070",-0.131189332455506,10.1551372487624,10.0239479163069
"NM_153556",-0.131189332455506,10.1551372487624,10.0239479163069
