,dataset_44528.dat,dataset_44529.dat,sum,pat
Aaas,1,1,2,1_1
Aatf,1,1,2,1_1
Abcd3,1,1,2,1_1
Abcf2,1,1,2,1_1
Abhd8,1,1,2,1_1
Acd,1,1,2,1_1
Ache,1,1,2,1_1
Acp2,1,1,2,1_1
Actn3,1,1,2,1_1
Adat1,1,1,2,1_1
Add1,1,1,2,1_1
Adipor2,1,0,1,1_0
Adnp,1,1,2,1_1
Afg3l2,1,1,2,1_1
Agps,1,1,2,1_1
Akap1,1,1,2,1_1
Akap12,1,1,2,1_1
Aldh6a1,1,1,2,1_1
Aldoa,1,1,2,1_1
Ampd3,1,1,2,1_1
Ankrd22,1,1,2,1_1
Anxa2,1,1,2,1_1
Ap1s1,1,1,2,1_1
Apaf1,1,1,2,1_1
Araf,1,1,2,1_1
Arf2,1,1,2,1_1
Arhgap8,1,1,2,1_1
Armcx1,1,1,2,1_1
Asb8,1,1,2,1_1
Asf1b,1,1,2,1_1
Asph,1,1,2,1_1
Ate1,1,1,2,1_1
Atic,1,1,2,1_1
Atp1b2,1,1,2,1_1
Atp5o,1,1,2,1_1
Atp6ap2,1,1,2,1_1
Atp6v0d1,1,1,2,1_1
Atp6v0e,1,1,2,1_1
Atp6v1b2,1,1,2,1_1
Atp7a,1,1,2,1_1
Aup1,1,1,2,1_1
Aurkb,1,1,2,1_1
BC027231,1,1,2,1_1
BC046404,1,0,1,1_0
Bcap29,1,1,2,1_1
Bcl11a,1,1,2,1_1
Bcl2l13,1,1,2,1_1
Bcl7c,1,1,2,1_1
Birc5,1,1,2,1_1
Blm,1,1,2,1_1
Bmp2k,1,1,2,1_1
Bmp4,1,1,2,1_1
Bola2,1,1,2,1_1
Bop1,1,1,2,1_1
Btbd1,1,1,2,1_1
Bxdc1,1,0,1,1_0
Bxdc2,1,0,1,1_0
Bzw2,1,1,2,1_1
C130090K23Rik,1,0,1,1_0
C330023M02Rik,1,0,1,1_0
C85492,1,1,2,1_1
Capns1,1,1,2,1_1
Capzb,1,1,2,1_1
Car11,1,1,2,1_1
Car14,1,1,2,1_1
Casp14,1,1,2,1_1
Ccne1,1,1,2,1_1
Ccrn4l,1,1,2,1_1
Cct3,1,1,2,1_1
Cd44,1,1,2,1_1
Cd63,1,1,2,1_1
Cdc20,1,1,2,1_1
Cdc25a,1,1,2,1_1
Cdc2a,1,0,1,1_0
Cdca3,1,1,2,1_1
Cdca4,1,1,2,1_1
Cdca5,1,1,2,1_1
Cdca8,1,1,2,1_1
Cdcp1,1,1,2,1_1
Cdkl2,1,1,2,1_1
Cdv3,1,1,2,1_1
Cenpa,1,1,2,1_1
Cenpl,1,1,2,1_1
Chaf1a,1,1,2,1_1
Chchd1,1,1,2,1_1
Chchd4,1,1,2,1_1
Chkb,1,1,2,1_1
Chrnb1,1,1,2,1_1
Cib2,1,1,2,1_1
Clpp,1,1,2,1_1
Cndp2,1,1,2,1_1
Cnih4,1,1,2,1_1
Coasy,1,1,2,1_1
Cobll1,1,1,2,1_1
Col18a1,1,1,2,1_1
Col1a1,1,1,2,1_1
Cops3,1,1,2,1_1
Cops6,1,1,2,1_1
Coq2,1,1,2,1_1
Coq7,1,1,2,1_1
Cpeb3,1,0,1,1_0
Crat,1,1,2,1_1
Creb3l1,1,1,2,1_1
Creld1,1,1,2,1_1
Cryab,1,1,2,1_1
Cryl1,1,1,2,1_1
Csnk1d,1,1,2,1_1
Cstf1,1,1,2,1_1
Ctdsp1,1,1,2,1_1
Cugbp1,1,0,1,1_0
D17Wsu104e,1,1,2,1_1
D930001I22Rik,1,0,1,1_0
Dapk1,1,1,2,1_1
Dbf4,1,1,2,1_1
Dcxr,1,1,2,1_1
Ddb2,1,1,2,1_1
Ddx20,1,1,2,1_1
Ddx21,1,1,2,1_1
Ddx24,1,1,2,1_1
Ddx27,1,1,2,1_1
Ddx41,1,1,2,1_1
Ddx51,1,1,2,1_1
Dgcr6,1,1,2,1_1
Dnajb6,1,1,2,1_1
Dnajc2,1,1,2,1_1
Dnase2a,1,1,2,1_1
Dph2,1,1,2,1_1
Drg2,1,1,2,1_1
Dsn1,1,1,2,1_1
Dst,1,1,2,1_1
Dtymk,1,1,2,1_1
Dusp10,1,1,2,1_1
Dusp23,1,1,2,1_1
Dyrk1b,1,1,2,1_1
E2f3,1,1,2,1_1
E2f4,1,1,2,1_1
Ebpl,1,1,2,1_1
Efha1,1,1,2,1_1
Eftud1,1,1,2,1_1
Egfr,1,1,2,1_1
Ehd1,1,1,2,1_1
Ehd4,1,1,2,1_1
Eif4a1,1,1,2,1_1
Eif4a2,1,1,2,1_1
Eif5a,1,1,2,1_1
Elac2,1,1,2,1_1
Elmo2,1,0,1,1_0
Elovl5,1,1,2,1_1
Emd,1,1,2,1_1
Eno1,1,1,2,1_1
Erh,1,1,2,1_1
Esr1,1,1,2,1_1
Etfa,1,1,2,1_1
Etfdh,1,1,2,1_1
Evc,1,1,2,1_1
Fbl,1,1,2,1_1
Fbxo3,1,1,2,1_1
Foxq1,1,1,2,1_1
Frmd6,1,1,2,1_1
Ftl1,1,1,2,1_1
Fyco1,1,1,2,1_1
Gadd45b,1,1,2,1_1
Gart,1,1,2,1_1
Gcnt1,1,1,2,1_1
Gdi1,1,1,2,1_1
Gemin6,1,1,2,1_1
Ghr,1,1,2,1_1
Gnai2,1,1,2,1_1
Gng2,1,1,2,1_1
Gnptab,1,1,2,1_1
Gorasp2,1,1,2,1_1
Gosr1,1,1,2,1_1
Gpr177,1,0,1,1_0
Gprasp1,1,1,2,1_1
Grpel1,1,1,2,1_1
Gsg2,1,1,2,1_1
Gspt1,1,1,2,1_1
Gtf2f2,1,1,2,1_1
Gyk,1,1,2,1_1
H2afy,1,1,2,1_1
H2afz,1,1,2,1_1
H3f3b,1,1,2,1_1
Hat1,1,1,2,1_1
Hbs1l,1,1,2,1_1
Hcn2,1,1,2,1_1
Hdlbp,1,1,2,1_1
Herc2,1,1,2,1_1
Herpud1,1,1,2,1_1
Hibadh,1,1,2,1_1
Hist1h3a,1,1,2,1_1
Hist1h3b,1,0,1,1_0
Hist1h3h,1,0,1,1_0
Hist2h2aa1,1,1,2,1_1
Hist2h2be,1,0,1,1_0
Hn1,1,1,2,1_1
Homer3,1,1,2,1_1
Hook2,1,1,2,1_1
Hoxa2,1,1,2,1_1
Hoxa5,1,1,2,1_1
Hoxc6,1,1,2,1_1
Hspb2,1,1,2,1_1
Hspb6,1,1,2,1_1
Hspd1,1,1,2,1_1
Hspe1,1,1,2,1_1
Idh3a,1,1,2,1_1
Idh3g,1,1,2,1_1
Ier5l,1,1,2,1_1
Ift172,1,1,2,1_1
Igfbp5,1,1,2,1_1
Impa2,1,1,2,1_1
Inadl,1,1,2,1_1
Irak1,1,1,2,1_1
Itgb1,1,1,2,1_1
Itm2b,1,1,2,1_1
Ivns1abp,1,1,2,1_1
Kazald1,1,0,1,1_0
Kctd6,1,1,2,1_1
Khdrbs1,1,1,2,1_1
Kif1b,1,1,2,1_1
Kif1c,1,1,2,1_1
Kif3c,1,1,2,1_1
Klhl15,1,1,2,1_1
Kntc1,1,1,2,1_1
Kpna2,1,1,2,1_1
Lamp2,1,1,2,1_1
Lancl1,1,1,2,1_1
Lars,1,1,2,1_1
Lig3,1,1,2,1_1
Lin7b,1,1,2,1_1
Lmna,1,1,2,1_1
Lmnb1,1,1,2,1_1
Lrsam1,1,0,1,1_0
Lsm12,1,1,2,1_1
Lyar,1,1,2,1_1
Lzic,1,1,2,1_1
M6prbp1,1,0,1,1_0
Mad2l1,1,1,2,1_1
Maf,1,1,2,1_1
Man2b1,1,1,2,1_1
Map3k11,1,1,2,1_1
Mat2b,1,1,2,1_1
Mcm2,1,1,2,1_1
Mcm3,1,1,2,1_1
Mcm4,1,1,2,1_1
Mcm6,1,1,2,1_1
Med19,1,1,2,1_1
Meis1,1,1,2,1_1
Metapl1,1,1,2,1_1
Mfn2,1,1,2,1_1
Mib1,1,1,2,1_1
Mier1,1,1,2,1_1
Mif4gd,1,1,2,1_1
Mki67ip,1,1,2,1_1
Mpp3,1,1,2,1_1
Mre11a,1,1,2,1_1
Mrpl16,1,1,2,1_1
Mrpl23,1,1,2,1_1
Mrpl36,1,1,2,1_1
Mrpl43,1,1,2,1_1
Mrpl48,1,0,1,1_0
Mrps23,1,1,2,1_1
Mrps7,1,1,2,1_1
Mtf1,1,1,2,1_1
Mthfd2,1,1,2,1_1
Mtx1,1,1,2,1_1
Mxra8,1,1,2,1_1
Mybbp1a,1,1,2,1_1
Mylpf,1,1,2,1_1
Myoz1,1,1,2,1_1
Nans,1,1,2,1_1
Nasp,1,1,2,1_1
Nat5,1,0,1,1_0
Ncaph,1,1,2,1_1
Ndufa6,1,1,2,1_1
Ndufaf1,1,1,2,1_1
Ndufb3,1,1,2,1_1
Ndufs6,1,1,2,1_1
Necap2,1,1,2,1_1
Neu1,1,1,2,1_1
Nfat5,1,1,2,1_1
Nip7,1,1,2,1_1
Nisch,1,1,2,1_1
Nme1,1,1,2,1_1
Nol8,1,1,2,1_1
Npepl1,1,0,1,1_0
Nptn,1,1,2,1_1
Nubp1,1,1,2,1_1
Nubp2,1,1,2,1_1
Nudt5,1,1,2,1_1
Nup93,1,1,2,1_1
Nxt1,1,1,2,1_1
Ovol2,1,1,2,1_1
Pa2g4,1,1,2,1_1
Pard6g,1,1,2,1_1
Parn,1,1,2,1_1
Pccb,1,1,2,1_1
Pcmt1,1,1,2,1_1
Pcolce2,1,1,2,1_1
Pdk2,1,1,2,1_1
Pdlim3,1,1,2,1_1
Pdlim5,1,1,2,1_1
Pex16,1,1,2,1_1
Pfkfb2,1,1,2,1_1
Pgam1,1,1,2,1_1
Phka2,1,1,2,1_1
Piga,1,1,2,1_1
Pigf,1,1,2,1_1
Pigq,1,1,2,1_1
Pkia,1,1,2,1_1
Pkib,1,1,2,1_1
Plau,1,1,2,1_1
Pld2,1,1,2,1_1
Plek2,1,1,2,1_1
Plk1,1,1,2,1_1
Plk2,1,1,2,1_1
Polg2,1,1,2,1_1
Poli,1,1,2,1_1
Polr2h,1,1,2,1_1
Pop7,1,1,2,1_1
Ppap2a,1,1,2,1_1
Ppm1a,1,1,2,1_1
Ppm1b,1,1,2,1_1
Ppm1g,1,1,2,1_1
Ppp1ca,1,1,2,1_1
Ppp1r12a,1,1,2,1_1
Pprc1,1,1,2,1_1
Pqlc3,1,1,2,1_1
Prep,1,1,2,1_1
Prim2,1,1,2,1_1
Prkx,1,1,2,1_1
Prmt5,1,1,2,1_1
Prom2,1,1,2,1_1
Prpf38a,1,1,2,1_1
Psma5,1,1,2,1_1
Psma7,1,1,2,1_1
Psmb1,1,1,2,1_1
Psmb2,1,1,2,1_1
Psmd11,1,0,1,1_0
Psmd2,1,1,2,1_1
Ptbp1,1,1,2,1_1
Ptpn21,1,1,2,1_1
Ptprs,1,1,2,1_1
Pum1,1,1,2,1_1
Rab11b,1,1,2,1_1
Rab3d,1,1,2,1_1
Rad9,1,1,2,1_1
Raf1,1,1,2,1_1
Rai12,1,1,2,1_1
Ran,1,1,2,1_1
Ranbp1,1,1,2,1_1
Rap2c,1,1,2,1_1
Rarg,1,1,2,1_1
Rars,1,1,2,1_1
Rasgrp1,1,1,2,1_1
Rbm3,1,1,2,1_1
Rbms3,1,1,2,1_1
Rccd1,1,1,2,1_1
Rdbp,1,1,2,1_1
Rdh5,1,1,2,1_1
Rgs11,1,1,2,1_1
Rhod,1,1,2,1_1
Rnf126,1,1,2,1_1
Rnf141,1,1,2,1_1
Rnpep,1,1,2,1_1
Rps24,1,1,2,1_1
Rps27a,1,1,2,1_1
Rtn3,1,1,2,1_1
Rtn4rl1,1,0,1,1_0
Ruvbl1,1,1,2,1_1
S100a14,1,1,2,1_1
Samhd1,1,1,2,1_1
Sap30,1,1,2,1_1
Satb1,1,1,2,1_1
Scamp1,1,1,2,1_1
Scarb2,1,1,2,1_1
Sdcbp,1,1,2,1_1
Sdf2l1,1,1,2,1_1
Sema3c,1,1,2,1_1
Sema3f,1,1,2,1_1
Senp3,1,1,2,1_1
Serbp1,1,1,2,1_1
Set,1,1,2,1_1
Sf3a1,1,1,2,1_1
Sf3b5,1,1,2,1_1
Sfrs6,1,1,2,1_1
Sgol1,1,1,2,1_1
Sirt5,1,0,1,1_0
Slc12a6,1,1,2,1_1
Slc25a11,1,1,2,1_1
Slc25a12,1,1,2,1_1
Slc25a39,1,1,2,1_1
