Sample ID	A
0610005C13Rik_IMP_OVL	8
0610007N19Rik	28
0610007P14Rik	10
0610009B22Rik	9
0610009D07Rik	8
0610009L18Rik	10
0610009O20Rik_IMP_OVL	13
0610010B08Rik_IMP_DUP_1_IMP_OVL	0
0610010B08Rik_IMP_DUP_2_IMP_OVL	0
0610010F05Rik	19
0610010K14Rik	6
0610011F06Rik	6
0610012G03Rik	11
0610012H03Rik	10
0610030E20Rik	66
0610031J06Rik	11
0610031O16Rik	2
0610037L13Rik	10
0610038B21Rik_IMP_OVL	26
0610039K10Rik_IMP_OVL	13
0610040B10Rik	6
0610040F04Rik_IMP_OVL	19
0610040J01Rik	18
0610043K17Rik	7
1010001N08Rik_IMP_OVL	6
1100001G20Rik	4
1110001A16Rik_IMP_OVL	5
1110001J03Rik	10
1110002L01Rik_IMP_OVL	10
1110004E09Rik	6
1110004F10Rik	12
1110006O24Rik	16
1110007C09Rik	2
1110008F13Rik_IMP_OVL	6
1110008J03Rik	17
1110008L16Rik_IMP_OVL	24
1110008P14Rik	8
1110012L19Rik	7
1110015O18Rik	8
1110017D15Rik	8
1110019D14Rik	15
1110020A21Rik	4
1110025L11Rik	3
1110028F11Rik	25
1110028F18Rik	10
1110032A03Rik	15
1110032F04Rik	17
1110034G24Rik	10
1110036E04Rik	15
1110037F02Rik	39
1110038B12Rik	6
1110038F14Rik	17
1110046J04Rik_IMP_OVL	6
1110051M20Rik	19
1110054M08Rik_IMP_OVL	25
1110057K04Rik	20
1110058L19Rik	2
1110059E24Rik	17
1110059G10Rik	23
1110059M19Rik	3
1110065P20Rik_IMP_OVL	1
1190002F15Rik	0
1190002N15Rik	31
1190003K10Rik	7
1190005I06Rik	9
1190007I07Rik	0
1200014J11Rik	30
1300002E11Rik	16
1300002K09Rik	19
1300017J02Rik	19
1500004A13Rik_IMP_OVL	10
1500009C09Rik	19
1500009L16Rik	4
1500011B03Rik	16
1500011K16Rik	4
1500012F01Rik_IMP_OVL	11
1500012K07Rik_IMP_OVL	8
1500015A07Rik	36
1500015L24Rik	11
1500015O10Rik	4
1500017E21Rik_IMP_OVL	14
1600002D24Rik	75
1600002H07Rik	12
1600002K03Rik	15
1600010M07Rik	7
1600012H06Rik_IMP_OVL	21
1600014C10Rik	203
1600014C23Rik	5
1600014K23Rik	0
1600015I10Rik	21
1600016N20Rik_IMP_OVL	11
1600019K03Rik	11
1600020E01Rik	18
1600023N17Rik	7
1600025M17Rik	2
1600027J07Rik	4
1600029I14Rik_IMP_OVL	7
1600029O15Rik	24
1700001C02Rik	4
1700001C19Rik_IMP_OVL	10
1700001D01Rik	9
1700001F09Rik	2
1700001G11Rik_IMP_OVL	7
1700001G17Rik	14
1700001J03Rik	3
1700001J11Rik	13
1700001K19Rik	3
1700001K23Rik	8
1700001L05Rik	49
1700001L19Rik	10
1700001O22Rik	17
1700001P01Rik	0
1700003C15Rik	0
1700003D09Rik_IMP_OVL	12
1700003E16Rik	12
1700003E24Rik_IMP_DUP_1_IMP_OVL	0
1700003E24Rik_IMP_DUP_2_IMP_OVL	0
1700003F12Rik	5
1700003G13Rik_IMP_OVL	5
1700003G18Rik	4
1700003H04Rik	7
1700003L19Rik	3
1700003M02Rik	10
1700003M07Rik	18
1700003P14Rik	4
1700006A11Rik	12
1700006E09Rik	15
1700006F04Rik	2
1700006H21Rik	11
1700007B14Rik	4
1700007F19Rik	15
1700007G11Rik	10
1700007J10Rik_IMP_OVL	6
1700007K09Rik	3
1700007K13Rik	9
1700007L15Rik	11
1700007P06Rik	4
1700008A04Rik	5
1700008F21Rik	2
1700008I05Rik	15
1700008J07Rik	27
1700008K24Rik	5
1700008O03Rik	6
1700008P02Rik	0
1700009C05Rik	4
1700009J07Rik	3
1700009N14Rik	12
1700009P17Rik	3
1700010B08Rik	11
1700010D01Rik	1
1700010I02Rik	2
1700010I14Rik	11
1700010J16Rik	3
1700010K23Rik_IMP_OVL	0
1700011A15Rik	12
1700011B04Rik	6
1700011E24Rik	4
1700011H14Rik	7
1700011I03Rik	7
1700011L22Rik	17
1700011M02Rik	0
1700012A03Rik	5
1700012B07Rik	14
1700012B09Rik	4
1700012D01Rik	27
1700012D14Rik	9
1700012I11Rik	19
1700012L04Rik	0
1700012P22Rik	5
1700013D24Rik	2
1700013F07Rik	6
1700013G24Rik	6
1700013H16Rik	2
1700015E13Rik	8
1700015F17Rik	37
1700015G11Rik	4
1700016C15Rik	7
1700016D06Rik	9
1700016G22Rik	13
1700016H13Rik	4
1700016K19Rik	7
1700016L04Rik	8
1700016L21Rik	1
1700016P04Rik	3
1700017B05Rik	40
1700017D01Rik	6
1700017G19Rik	16
1700017J07Rik	3
1700017N19Rik	4
1700018A04Rik	12
1700018B08Rik	5
1700018B24Rik	5
1700018C11Rik	4
1700018F24Rik	0
1700018G05Rik	0
1700018L02Rik_IMP_OVL	16
1700019A02Rik	4
1700019B03Rik	12
1700019B21Rik	4
1700019D03Rik	5
1700019E08Rik	3
1700019G17Rik	27
1700019G24Rik	4
1700019L03Rik_IMP_OVL	11
1700019M22Rik	0
1700019N19Rik	5
1700019O17Rik	13
1700020A23Rik	10
1700020D05Rik	19
1700020G17Rik	1
1700020I14Rik	11
1700020L24Rik	17
1700020M21Rik	4
1700020N01Rik	11
1700020N15Rik	0
1700020N18Rik	6
1700021F05Rik	1
1700021F07Rik	3
1700021K19Rik	59
1700021N21Rik	4
1700022A21Rik	18
1700022A22Rik	6
1700022E09Rik	5
1700022H16Rik	4
1700022I11Rik	17
1700022P22Rik	3
1700023C21Rik	6
1700023E05Rik	19
1700023F02Rik	0
1700023F06Rik	15
1700023L04Rik	3
1700024B18Rik	0
1700024F13Rik	5
1700024G13Rik	6
1700024P04Rik	4
1700024P16Rik	15
1700025B11Rik	1
1700025C18Rik	11
1700025F22Rik	7
1700025F24Rik	0
1700025G04Rik	82
1700025K24Rik	4
1700025M24Rik	20
1700025N23Rik	9
1700026D08Rik	9
1700026D11Rik	6
1700026F02Rik	2
1700026L06Rik	0
1700027A15Rik	3
1700027F09Rik	23
1700027H10Rik_IMP_OVL	0
1700027I24Rik	1
1700027J07Rik	5
1700028B04Rik	5
1700028D13Rik	21
1700028E10Rik	18
1700028I16Rik	4
1700028J19Rik	7
1700028K03Rik_IMP_OVL	18
1700028M03Rik	6
1700028P14Rik	9
1700028P15Rik	13
1700029B22Rik	3
1700029F12Rik	11
1700029H14Rik	21
1700029I15Rik	2
1700029J03Rik	10
1700029J07Rik	19
1700029M20Rik	11
1700029N11Rik	3
1700029P11Rik	2
1700030A11Rik_IMP_OVL	15
1700030C10Rik	1
1700030F04Rik	3
1700030F18Rik	11
1700030J22Rik	15
1700030K09Rik_IMP_OVL	12
1700030L20Rik	6
1700030M09Rik	11
1700030N03Rik	2
1700030O20Rik	2
1700031A10Rik	6
1700031F05Rik	5
1700031M16Rik	4
1700031P21Rik	5
1700034E13Rik	4
1700034F02Rik_IMP_OVL	20
1700034G24Rik	8
1700034H15Rik_IMP_OVL	56
1700034I23Rik	2
1700034J05Rik	33
1700034K08Rik	5
1700034O15Rik	5
1700034P13Rik_IMP_OVL	8
1700036G14Rik	1
1700037C18Rik	6
1700037H04Rik	14
1700039E15Rik	9
1700039E22Rik	3
1700040L02Rik	9
1700041C23Rik	1
1700041M19Rik	20
1700042B14Rik	0
1700042G07Rik	4
1700042G15Rik	16
1700042O10Rik	10
1700044C05Rik	3
1700044K03Rik	1
1700045H11Rik	16
1700046C09Rik	1
1700047E10Rik	1
1700047G03Rik	9
1700047L14Rik	5
1700047M11Rik	3
1700048M11Rik	4
1700048O20Rik	10
1700049E15Rik	7
1700049E22Rik	2
1700049G17Rik	20
1700049L16Rik	6
1700051A21Rik	7
1700052I22Rik	1
1700052K11Rik	37
1700052N19Rik	5
1700054A03Rik	13
1700054K19Rik	5
1700054M17Rik	12
1700054O13Rik	4
1700055C04Rik	3
1700055N04Rik	22
1700056E22Rik	22
1700057G04Rik	10
1700057H15Rik	5
1700060C16Rik	4
1700060C20Rik	8
1700061F12Rik	12
1700061G19Rik	10
1700061I17Rik	15
1700063A18Rik	5
