"","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.9908_bed","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.DNase1HS_8846_bed"
"21429",-1.92063783560695,-1.93237128327175
"21430",-1.94784493280044,-1.97910032713746
"21431",-1.90132167042356,-1.66828934033612
"21432",-1.9200232763674,-1.52981009371445
"21433",-1.92730904498713,-1.75790601611612
"21434",-1.92730904498713,-1.43787374620369
"21435",-1.92034852292615,-1.93685436289336
"21436",-1.91410318886841,-1.70217385741467
"21437",-1.92060166098015,-1.94142215086678
"21438",-1.92038467647306,-1.96007058589144
"21439",-1.88890558949066,-1.55773978543944
"21440",-1.92730904498713,-1.95338779093155
"21441",-1.9408532805738,-1.49802379697532
"21442",-1.90132167042356,-1.96501078371232
"21443",-1.92067401324718,-1.28650945690606
"21444",-1.89506926092226,-1.30457086231043
"21445",-1.92067401324718,-1.95581314923264
"21446",-1.92067401324718,-1.95066566402772
"21447",-1.94711376474362,-1.70854234585076
"21448",-1.86505828926464,-1.28175580865749
"21449",-1.91413882621155,-1.77520804350732
"21450",-1.92020393882764,-1.94146010206022
"21451",-1.92067401324718,-1.67914778016825
"21452",-1.92719885059015,-1.68888215733749
"21453",-1.95495098701104,-1.93237128327175
"21454",-1.92730904498713,-1.28432249943306
"21455",-1.92730904498713,-1.29660543545186
"21456",-1.93404701968613,-1.76975550059862
"21457",-1.91410318886841,-1.95066566402772
"21458",-1.93404701968613,-1.95066566402772
"21459",-1.92063783560695,-1.95066566402772
"21460",-1.91413882621155,-1.96489059705542
"21461",-1.90766541047898,-1.80952822942665
"21462",-1.90132167042356,-1.77614078466937
"21463",-1.93367407463796,-1.3282256733274
"21464",-1.9408532805738,-1.77931672202565
"21465",-1.91481649194722,-1.49095885544318
"21466",-1.92554928104541,-1.96972419711071
"21467",-1.88887196365488,-1.78893288078297
"21468",-1.90097578438911,-1.59966927810256
"21469",-1.90766541047898,-1.88120637205565
"21470",-1.93408433181141,-1.87690004474443
"21471",-1.91410318886841,-1.96972419711071
"21472",-1.90128706942112,-1.28372113382171
"21473",-1.92063783560695,-1.85861294513266
"21474",-1.90766541047898,-1.19119506461829
"21475",-1.9142814048346,-1.19116134112786
"21476",-1.92734578266697,-1.8897807763106
"21477",-1.92730904498713,-1.46113733532662
"21478",-1.92730904498713,-1.16885999271958
"21479",-1.92730904498713,-1.69387532926347
"21480",-1.92730904498713,-1.41083260945395
"21481",-1.90763030037088,-1.90981251242458
"21482",-1.92745601435635,-1.93685436289336
"21483",-1.94089118208641,-1.92350519499028
"21484",-1.94089118208641,-1.96972419711071
"21485",-1.95495098701104,-1.96972419711071
"21486",-1.94089118208641,-1.96485054222654
"21487",-1.95495098701104,-1.96972419711071
"21488",-1.94784493280044,-1.96972419711071
"21489",-1.92730904498713,-1.94142215086678
"21490",-1.92067401324718,-1.95514678273227
"21491",-1.89493285118988,-1.96489059705542
"21492",-1.93404701968613,-1.92793400858525
"21493",-1.93397240505114,-1.96007058589144
"21494",-1.88890558949066,-1.95534266676513
"21495",-1.90132167042356,-1.96007058589144
"21496",-1.89506926092226,-1.14565144193922
"21497",-1.88887196365488,-1.67672726875152
"21498",-1.92060166098015,-1.65304100132647
"21499",-1.889006482622,-1.74600813718783
"21500",-1.90766541047898,-1.30291021202359
"21501",-1.92730904498713,-1.95066566402772
"21502",-1.9072793553159,-1.96007058589144
"21503",-1.94784493280044,-1.7339800911465
"21504",-1.9142814048346,-1.84342056419543
"21505",-1.92081875395238,-1.92793400858525
"21506",-1.89510337005103,-1.55692485617827
"21507",-1.91410318886841,-1.96007058589144
"21508",-1.90752498707402,-1.96007058589144
"21509",-1.94089118208641,-1.96489059705542
"21510",-1.94784493280044,-1.96007058589144
"21511",-1.93404701968613,-1.75129126439908
"21512",-1.92067401324718,-1.87830886969242
"21513",-1.92712540318901,-1.84737536055238
"21514",-1.92730904498713,-1.53399292722513
"21515",-1.92067401324718,-1.87762026793089
"21516",-1.92730904498713,-1.94142215086678
"21517",-1.91410318886841,-1.95066566402772
"21518",-1.94089118208641,-1.38568293333979
"21519",-1.94089118208641,-1.96972419711071
"21520",-1.73868953989938,-1.92354161228785
"21521",-1.88887196365488,-1.93689191700138
"21522",-1.94784493280044,-1.96489059705542
"21523",-1.93404701968613,-1.45365478798328
"21524",-1.93404701968613,-1.45065336399424
"21525",-1.93404701968613,-1.94005811193805
"21526",-1.92727231041473,-1.96445019698994
