"","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.9908_bed","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.DNase1HS_8846_bed"
"21429",13,70
"21430",82,99
"21431",37,47
"21432",54,47
"21433",63,56
"21434",17.5,48
"21435",81,16
"21436",76,47
"21437",52,60
"21438",64,78
"21439",67,47
"21440",1,87
"21441",3,49
"21442",60,54
"21443",47.5,49
"21444",53,1
"21445",92,97
"21446",73,74
"21447",12,38
"21448",66,48
"21449",73,73
"21450",19,62
"21451",40,70
"21452",8,39
"21453",47,81
"21454",45,47
"21455",50,47
"21456",61,62
"21457",84,53.5
"21458",62,81
"21459",54,41
"21460",53,51.5
"21461",9,41
"21462",38,78
"21463",80,81
"21464",96,55
"21465",20,50
"21466",18,34
"21467",46,1
"21468",53,55
"21469",93.5,62
"21470",97,65
"21471",68,72
"21472",25,49
"21473",6,36
"21474",76,42
"21475",91,30
"21476",3,37
"21477",62,45
"21478",91,47
"21479",59,54
"21480",11.5,52
"21481",32,58
"21482",52,82
"21483",73,29
"21484",57.5,32
"21485",4.5,19
"21486",88,89
"21487",94,93
"21488",5,4
"21489",78,76
"21490",96,86
"21491",19,54.5
"21492",68,51
"21493",86,48.5
"21494",35,1
"21495",89,77.5
"21496",18,47
"21497",15,58
"21498",12,53
"21499",94,59
"21500",22,53
"21501",4,10.5
"21502",99,97.5
"21503",92,50
"21504",7,84
"21505",74,85
"21506",80,71
"21507",62,93
"21508",56,38
"21509",67,94
"21510",46.5,30.5
"21511",7,43
"21512",83,70
"21513",18,46
"21514",18,51
"21515",1,66
"21516",40,58.5
"21517",71,60.5
"21518",50,47
"21519",92,46
"21520",49,59
"21521",72,46
"21522",84,34.5
"21523",17,46
"21524",15,45
"21525",51,47
"21526",90,16
"21527",47,50
"21528",2,39.5
"21529",41,42.5
"21530",69.5,7
"21531",89,46
"21532",14,54
"21533",94,47
"21534",61,62
"21535",95.5,44
"21536",74,75
"21537",36,16
"21538",15,41
"21539",59,51
"21540",39,47
"21541",3,52
"21542",48,65
"21543",77,84
"21544",55,84
"21545",35,46
"21546",14,67
"21547",96,47
"21548",75,48
"21549",97,60
"21550",29,65
"21551",12,51
"21552",20,54
"21553",17,62
"21554",35,61
"21555",68,42
"21556",12,45
"21557",93,72
"21558",7,48
"21559",99.5,76
"21560",52,31
"21561",17,50
"21562",76,47
"21563",93,48
"21564",4.5,40
"21565",29,70
"21566",68,46
"21567",4,52
"21568",95,46
"21569",18,18
"21570",94,3
"21571",86,43
"21572",9,49
"21573",43,58
"21574",100,54
"21575",97,45
"21576",25,60
"21577",100,65
"21578",53.5,53
"21579",40,32
"21580",39,39
"21581",47,48
"21582",93,68
"21583",2,49
"21584",9,61
"21585",66,48
"21586",29,17
"21587",96,50
"21588",43.5,45
"21589",56,45
"21590",46,79
"21591",85,45
"21592",20,67
"21593",80,66
"21594",58,57.5
"21595",37,70
"21596",22,71
"21597",6,51
"21598",53,52
"21599",73,6
"21600",68,55
"21601",17,54
"21602",78,48
"21603",38,37
"21604",64,50
"21605",27,20
"21606",53,68
"21607",27,74
"21608",77,10
"21609",49,46
"21610",44,16
"21611",1,52
"21612",98,47
"21613",34,58
"21614",97,75
"21615",77,86
"21616",97,45
"21617",12,46
"21618",2,33
"21619",36,63
"21620",24,40
"21621",97,37
"21622",46,50
"21623",95,49
"21624",25,52
"21625",4,5
"21626",56,4
"21627",91,46
"21628",68.5,57
"21629",67,45
"21630",62,50
"21631",23,40
"21632",82,47
"21633",66,51
"21634",51,44
"21635",97,53
"21636",33,60
"21637",87,50
"21638",75,49
"21639",64,62
"21640",81,58
"21641",68,66
"21642",33,62
"21643",67,53
"21644",15,44
"21645",31,85.5
"21646",6,38
"21647",67,52
"21648",32,47
"21649",100,53
"21650",49,49
"21651",15,42
"21652",88.5,65
"21653",57,50
"21654",57,51
"21655",40,54
"21656",23,98
"21657",9,47
"21658",32.5,49
"21659",38,48
"21660",59,49
"21661",61,62
"21662",29,56
"21663",84,53
"21664",72,52
"21665",69.5,46
"21666",43,48
"21667",12,11
"21668",75,6
"21669",24,93
"21670",24,93
"21671",97,44
"21672",45,46
"21673",59,57
"21674",24,66
"21675",82,61
"21676",53,47
"21677",88,47
"21678",19,49
"21679",27,61
"21680",50,57
"21681",20,65
"21682",54,49
"21683",12,53
"21684",48,6
"21685",30,45
"21686",62,48
"21687",97,48
"21688",63,17
"21689",36,17
"21690",91,93
"21691",50,51
"21692",50,48
"21693",88,47
"21694",46,53
"21695",50,53
"21696",75,47
"21697",76,8
"21698",92,44
"21699",99,55
"21700",41,48
"21701",53,52
"21702",32,24
"21703",40,5
"21704",6,52
"21705",22.5,42
"21706",100,61
"21707",54,47
"21708",39,46
"21709",9,46
"21710",63,53
"21711",36,36
"21712",7,76
"21713",51,51
"21714",25,90
"21715",76,46
"21716",44,43
"21717",80,40
"21718",85,45
"21719",77,51
"21720",23,49
"21721",8,6
"21722",86,80
"21723",5,34
"21724",28.5,69
"21725",52,47
"21726",74,47
"21727",20,48
"21728",57,65
"21729",53,35
"21730",15,34
"21731",89,45
"21732",85,38
"21733",87,43
"21734",88,44
"21735",8,78
"21736",62,27
"21737",90,65
"21738",57,53
"21739",15,14
"21740",16,5
"21741",50,43
"21742",79,53
"21743",18,44
"21744",39,49.5
"21745",41,51.5
"21746",44,42
"21747",39,41
"21748",62,52
"21749",69,78
"21750",19,58
"21751",75,74
"21752",80,46
"21753",32,33
"21754",86.5,60
"21755",86,27
"21756",60,57
"21757",55,54
"21758",73.5,62
"21759",41,47
"21760",52,52
"21761",93,47
"21762",5,63
"21763",28,73
"21764",27,53
"21765",73,47
"21766",33,54
"21767",34,40
"21768",12,54
"21769",43,26.5
"21770",50,52
"21771",59,69
"21772",30,100
"21773",76,48.5
"21774",57,57
"21775",85,30
"21776",98,49
"21777",86,85
"21778",20,20
"21779",47,45
"21780",80,42
"21781",28,48
"21782",28,46
"21783",82,50
"21784",77,96
"21785",51,12.5
"21786",77,31
"21787",77,13
"21788",49,53
"21789",42,74.5
"21790",78,52
"21791",87,23
"21792",23,47
"21793",79,48
"21794",56,53
"21795",46,47
"21796",54,53
"21797",61,48
"21798",74,46
"21799",31,80
"21800",40,39
"21801",61,46
"21802",97,95
"21803",52,79
"21804",20,34
"21805",62.5,51
"21806",80,80
"21807",25,58
"21808",41,4
"21809",71,47
"21810",93,46
"21811",99,47
"21812",50,51
"21813",77,48
"21814",78,49
"21815",27,87
"21816",73,100
"21817",54,53
"21818",57,47
"21819",6,69
"21820",65,68
"21821",9,49
"21822",100,45
"21823",97,33
"21824",87,53
"21825",81,68
"21826",19,90
"21827",80,51
"21828",44,66
"21829",44,22
"21830",51,53
"21831",91,14
"21832",41.5,21
"21833",89,47
"21834",30,44
"21835",43,47
"21836",65,68.5
"21837",28,52
"21838",28,52
"21839",94,86
"21840",16,53
"21841",99,49
"21842",33,47
"21843",52,52
"21844",23,36
"21845",70,47
"21846",36,37
"21847",42,74
"21848",35,69.5
"21849",64,65
"21850",47,50
"21851",68.5,64
"21852",31,35
"21853",68,50
"21854",58.5,54
"21855",71,47
"21856",48,54.5
"21857",78,79.5
"21858",61,100
"21859",53,48
"21860",6,5
"21861",81,49
"21862",22,37
"21863",69,53
"21864",75,73
"21865",54,13
"21866",28,10
"21867",16,47
"21868",23,25
"21869",27,54
"21870",89,52
"21871",50,61
"21872",99,73
"21873",37.5,70
"21874",99,100
"21875",80,50
"21876",23,99
"21877",34,48
"21878",75,49
"21879",75,50
"21880",57,17
"21881",98,50
"21882",42,94
"21883",36,4
"21884",1,48
"21885",14,55
"21886",82,7
"21887",54,49
"21888",78,46
"21889",58,49
"21890",19,67
"21891",41,44
"21892",68,6
"21893",91,100
"21894",68,61.5
"21895",89,59
"21896",22,49
"21897",96,62
"21898",36,48
"21899",6.5,60
"21900",33.5,47
"21901",82,68
"21902",91,18
"21903",50.5,86
"21904",13,12.5
"21905",36,54
"21906",93,48
"21907",93,91
"21908",93,64
"21909",77,68
"21910",24,61
"21911",89,13
"21912",55,49
"21913",73,76
"21914",82,48
"21915",52,66.5
"21916",54,45
"21917",81,56
"21918",43,43
"21919",20,46
"21920",95,70
"21921",41,40
"21922",45,48
"21923",42,53
"21924",38,46
"21925",38,51
"21926",5,49
"21927",79,94
"21928",25,26
"21929",92,57
"21930",17,68
"21931",18,58
"21932",84,42
"21933",26,47
"21934",67,47
"21935",13,53
"21936",38,82
"21937",18,40
"21938",29,61
"21939",11,53
"21940",87,45
"21941",40,49
"21942",69,46
"21943",68,51
"21944",56,41
"21945",44,53
"21946",46,45
"21947",58,58
"21948",77,55
"21949",37,48
"21950",96,65.5
"21951",29,60
"21952",66,59
"21953",60,58
"21954",51,86
"21955",12,58
"21956",36.5,64
"21957",22,98
"21958",88,36
"21959",79,98
"21960",85,48
"21961",88,65
"21962",58,84
"21963",1,53
"21964",51,51
"21965",79,60
"21966",61,68
"21967",3,4
"21968",83,35.5
"21969",92,80
"21970",71,50
"21971",63,38
"21972",58,46
"21973",58,18
"21974",66,53
"21975",32,44
"21976",60,46
"21977",43.5,48
"21978",1,70
"21979",57,37
"21980",40,60
"21981",53,49
"21982",7,12
"21983",54,53
"21984",76,16.5
"21985",34,60
"21986",67,42
"21987",17,52
"21988",63,47
"21989",44,46
"21990",71,49
"21991",98.5,76
"21992",80,78
"21993",89,94
"21994",7,66
"21995",96.5,34
"21996",41,41
"21997",60,5.5
"21998",42,45
"21999",59,60
"22000",37,59
"22001",41,52
"22002",62.5,45
"22003",90,78
"22004",44,45
"22005",92,43
"22006",11,88
"22007",53.5,51
"22008",56,50
"22009",87,16
"22010",10,51
"22011",73,28
"22012",50.5,80
"22013",38,97
"22014",83,48
"22015",20,63
"22016",89.5,8
"22017",30,54
"22018",82,100
"22019",62,96
"22020",19,55
"22021",42,88
"22022",91.5,50
"22023",64,63
"22024",45.5,60.5
"22025",11,51
"22026",70,53
"22027",22,52
"22028",90,53
"22029",98,46
"22030",7,47
"22031",48,23
"22032",1,49
"22033",66,52
"22034",22,60
"22035",11,37
"22036",11,51
"22037",85,8
"22038",66.5,54
"22039",81,24
"22040",41,51
"22041",58,49
"22042",95,72
"22043",75,96
"22044",3,69
"22045",2,34
"22046",11,44
"22047",50,50
"22048",43,49
"22049",56,53
"22050",67,69
"22051",13,38
"22052",14,45
"22053",69,66
"22054",39,39.5
"22055",9,62
"22056",85,53
"22057",53,14
"22058",44,42
"22059",36,54
"22060",43,89
"22061",56,53
"22062",82,40
"22063",1,43
"22064",33,92
"22065",21,49
"22066",52,68
"22067",83,48
"22068",44,63
"22069",36,68
"22070",51,50
"22071",53,19
"22072",56,53
"22073",73,46
"22074",45,85
"22075",36,55
"22076",35,2
"22077",9,18
"22078",45,45
"22079",87,25
"22080",75,24
"22081",23,23
"22082",18,73
"22083",19,22.5
"22084",62,35
"22085",56.5,100
"22086",16,55
"22087",16,45
"22088",71,49
"22089",70,42
"22090",75,52
"22091",18,42
"22092",71,47
"22093",69,80
"22094",28,52
"22095",35,30
"22096",88,46
"22097",50,49
"22098",85,52
"22099",88,51
"22100",50,45
"22101",15,62
"22102",24,47
"22103",35,56
"22104",68,67
"22105",88,18
"22106",28,90
"22107",46,47
"22108",75,48
"22109",89,70
"22110",1,49
"22111",64,38
"22112",54,9.5
"22113",67,85
"22114",64,46.5
"22115",13,48
"22116",65,47
"22117",38,66
"22118",29,52
"22119",47,50
"22120",23,8
"22121",28,31
"22122",78,3
"22123",93,63
"22124",34,88
"22125",42,52
"22126",4,49
"22127",95,39
"22128",50,50
"22129",28.5,29
"22130",58,23
"22131",54,63
"22132",5,21
"22133",7,81
"22134",97.5,38
"22135",69,19
"22136",41,96
"22137",88,54
"22138",66,69
"22139",70,48
"22140",67,48
"22141",87,48
"22142",84,53
"22143",81,48
"22144",66,43
"22145",6,53
"22146",26.5,88
"22147",47,52
"22148",75,44
"22149",47,49
"22150",43,50
"22151",24,36
"22152",14,42
"22153",91.5,57
"22154",100,68
"22155",52,61
"22156",36,37
"22157",2,49
"22158",74,49
"22159",23,29
"22160",4,89
"22161",18,47
"22162",92.5,36
"22163",23,50
"22164",37,38
"22165",80.5,33
"22166",99,48
"22167",40,8
"22168",1,29
"22169",37,48
"22170",57,24
"22171",15,44
"22172",7,51
"22173",43,92
"22174",5,46
"22175",27,58
"22176",79,47
"22177",37,18
"22178",88,46
"22179",74,33.5
"22180",24,63
"22181",21,59
"22182",27,53
"22183",97,98
"22184",26,62
"22185",6,72
"22186",89,53
"22187",62,43
"22188",6,53
"22189",86,44
"22190",43,49
"22191",14,29
"22192",2,17
"22193",5,83
"22194",18.5,86
"22195",72,52
"22196",37,57
"22197",69,39
"22198",54,52
"22199",66,66
"22200",37,36
"22201",60,60
"22202",77,53
"22203",20,23
"22204",51,53
"22205",3,52
"22206",37,42
"22207",52,53
"22208",45,45
"22209",49,49
"22210",18,33
"22211",39,57
"22212",66,50
"22213",7,4
"22214",57,45
"22215",23,42
"22216",45,45
"22217",51,52
"22218",94,46
"22219",41,54
"22220",19,47
"22221",45,45
"22222",51,51
"22223",74,52
"22224",45.5,46
"22225",34,31
"22226",55,83
"22227",11,52
"22228",68,12
"22229",100,78
"22230",63,62
"22231",81,61
"22232",99,49
"22233",63,45
"22234",65,64
"22235",91,53
"22236",4.5,7
"22237",26,41
"22238",15,52
"22239",4,14
"22240",62,25
"22241",27,61
"22242",79,53
"22243",96,24
"22244",54,50
"22245",37,52
"22246",19,49
"22247",87,49
"22248",29,48
"22249",63.5,20
"22250",41,40
"22251",29,47
"22252",48,54
"22253",69,64
"22254",68,62
"22255",64,29
"22256",88,39
"22257",61,57
"22258",25,46
"22259",35,48
"22260",88,42
"22261",57,46
"22262",4,45
"22263",9,39
"22264",36,16
"22265",45,29
"22266",67,45
"22267",38,61
"22268",65,50
"22269",75,78
"22270",67,54.5
"22271",49,79
"22272",90.5,15
"22273",77,88
"22274",64,44
"22275",6,29
"22276",41,63
"22277",53,52
"22278",40.5,100
"22279",61,48
"22280",43,41
"22281",21,45
"22282",82,47
"22283",47,69
"22284",54,18
"22285",27,33
"22286",56,50
"22287",87,1
"22288",14,48
"22289",82.5,48
"22290",91,49
"22291",36,52
"22292",2,46
"22293",57,55
"22294",50,51
"22295",5,48
"22296",6,41
"22297",90,48
"22298",52,54
"22299",6,49
"22300",2,42
