"reads2.bed.1","reads1.bed.2"
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1,2.32192809488736
1.58496250072116,1
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,1
1.58496250072116,0
1.58496250072116,0
1.58496250072116,1
1.58496250072116,0
1.58496250072116,1
1.58496250072116,0
1,1.58496250072116
1,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,2
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
2,0
1.58496250072116,1
1.58496250072116,0
0,1.58496250072116
1.58496250072116,1.58496250072116
2,0
0,1.58496250072116
1,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,1
1.58496250072116,1
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,1
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,1
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
2.32192809488736,0
0,1.58496250072116
1,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
4,4.08746284125034
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
2,1
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
2,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
2.32192809488736,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,1
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,2
1.58496250072116,0
1.58496250072116,0
1.58496250072116,1
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,1
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,1
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
2,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
2,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
1.58496250072116,0
0,1.58496250072116
1.58496250072116,0
1.58496250072116,1
1.58496250072116,0
1.58496250072116,0
0,1.58496250072116
0,1.58496250072116
0,1.58496250072116
