"reads2.bed.1","reads1.bed.2"
2,0
2,0
2,0
0,2
0,2
0,2
0,2
1,4
2,1
0,2
2,0
2,0
0,2
2,1
2,0
2,0
2,1
2,0
2,1
2,0
1,2
1,2
2,0
0,2
0,3
0,2
0,2
0,2
0,2
0,2
1,2
2,0
0,2
2,0
0,2
2,0
0,2
2,0
0,2
2,0
2,0
0,2
2,0
0,2
2,0
2,0
2,0
3,0
2,1
2,0
0,2
2,2
3,0
0,2
1,2
2,0
0,2
2,0
2,1
2,1
2,0
2,0
2,0
2,0
0,2
0,2
2,0
2,0
0,2
2,0
2,1
2,0
2,0
2,0
0,2
2,0
0,2
2,0
0,2
0,2
2,0
0,2
2,0
0,2
2,0
2,0
0,2
2,0
2,0
2,0
2,0
0,2
0,2
2,0
2,1
2,0
2,0
2,0
2,0
0,2
0,2
4,0
0,2
1,2
2,0
0,2
2,0
2,0
1,2
2,0
2,0
2,0
2,0
0,2
0,2
2,0
0,2
0,2
0,2
2,0
0,2
2,0
0,2
0,2
2,0
0,2
2,0
0,2
1,2
2,0
2,0
2,0
0,2
2,0
0,2
2,0
2,0
2,0
15,16
0,2
0,2
2,0
2,0
2,0
0,2
2,0
2,0
0,2
2,0
2,0
2,0
2,0
0,2
2,0
2,0
0,2
2,0
0,2
2,0
0,2
0,2
0,2
2,0
0,2
2,0
0,2
2,0
0,2
3,1
0,2
0,2
2,0
2,0
2,0
0,2
3,0
0,2
2,0
2,0
0,2
0,2
0,2
2,0
2,0
0,2
2,0
2,0
0,2
2,0
0,2
2,0
2,0
2,0
2,0
2,0
0,2
2,0
2,0
0,2
0,2
0,2
0,2
2,0
0,2
2,0
2,0
2,0
2,0
0,2
0,2
2,0
2,0
2,0
0,2
2,0
2,0
0,2
0,2
2,0
0,2
2,0
0,2
2,0
0,2
2,0
0,2
0,2
2,0
4,0
2,0
2,0
0,2
2,0
0,2
2,1
2,0
0,2
2,0
0,2
2,0
2,0
2,0
2,0
2,0
0,2
0,2
0,2
2,0
0,3
2,0
2,0
2,1
2,0
2,0
0,2
0,2
2,0
0,2
0,2
2,0
2,0
2,0
0,2
0,2
0,2
2,1
2,0
2,0
0,2
2,1
0,2
0,2
2,0
0,2
3,0
2,0
2,0
2,0
2,0
2,0
3,0
2,0
0,2
2,0
0,2
2,0
2,0
2,0
0,2
2,0
0,2
0,2
0,2
2,0
2,0
2,0
2,0
0,2
0,2
0,2
2,0
2,0
1,2
0,2
2,0
0,2
1,2
2,0
0,2
2,0
2,0
0,2
2,0
2,0
2,0
2,0
2,0
2,0
0,2
2,0
0,2
0,2
2,0
0,2
2,0
2,0
0,2
2,0
2,0
0,2
0,2
2,0
2,0
0,2
2,0
0,2
2,0
2,0
0,2
2,0
2,0
2,0
2,0
0,2
0,2
0,2
0,2
0,2
2,0
0,2
0,2
0,2
0,2
2,0
0,2
2,0
2,1
2,0
2,0
0,2
0,2
0,2
2,0
0,2
2,0
2,0
0,2
2,0
2,0
0,2
0,2
0,2
1,2
0,2
2,0
2,0
2,0
0,2
