peak_chr	peak_start	peak_end	gene_name	gene_class	distance
chr10	105011825	105012705	TMTC2:NM_177368	core_gene_genebody_peak	0
chr10	110907939	110908680	NAP1L1:NM_015781:NM_001146707	core_gene_genebody_peak	0
chr10	111409558	111410257	KRR1:NM_178610	core_gene_TSS_peak	0
chr10	114910626	114911241	LGR5:NM_010195	core_gene_genebody_peak	0
chr10	115985075	115985540	CNOT2:NM_001037847:NR_024327:NM_028082:NM_001037846:NM_001037848	core_gene_genebody_peak	0
chr10	116367886	116368915	RAB3IP:NM_001003950	core_gene_genebody_peak	0
chr10	119626517	119627203	IRAK3:NM_028679	core_gene_genebody_peak	0
chr10	122173884	122174449	PPM1H:NM_176919:NM_001110218	core_gene_genebody_peak	0
chr10	122596129	122596747	USP15:NM_027604	core_gene_genebody_peak	0
chr10	12476477	12477012	UTRN:NM_011682	core_gene_genebody_peak	0
chr10	126647863	126648283	PIP4K2C:NM_054097	core_gene_genebody_peak	0
chr10	126957518	126958255	SHMT2:NM_028230	core_gene_genebody_peak	0
chr10	126970203	126971350	NXPH4:NM_183297	core_gene_genebody_peak	0
chr10	127041375	127042352	LRP1:NM_008512	core_gene_genebody_peak	0
chr10	127501733	127502480	PTGES3:NM_019766	core_gene_genebody_peak	0
chr10	127529087	127529688	BAZ2A:NM_054078	core_gene_genebody_peak	0
chr10	127736841	127737384	IL23A:NM_031252	core_gene_genebody_peak	0
chr10	127871682	127872948	RNF41:NM_026259:NM_001164237	core_gene_genebody_peak	0
chr10	127873168	127873927	RNF41:NM_026259:NM_001164237	core_gene_genebody_peak	0
chr10	127875669	127876668	RNF41:NM_026259:NM_001164237	core_gene_genebody_peak	0
chr10	127961705	127962693	ESYT1:NM_011843	core_gene_genebody_peak	0
chr10	128111126	128111512	SUOX:NM_173733	core_gene_genebody_peak	0
chr10	13684702	13685420	HIVEP2:NM_010437	core_gene_genebody_peak	0
chr10	13765549	13766105	HIVEP2:NM_010437	core_gene_genebody_peak	0
chr10	19324390	19324859	IFNGR1:NM_010511	core_gene_genebody_peak	0
chr10	19348670	19349386	IL22RA2:NM_178258	core_gene_genebody_peak	0
chr10	19672954	19673641	MAP3K5:NM_008580	core_gene_genebody_peak	0
chr10	19711653	19712101	MAP3K5:NM_008580	core_gene_genebody_peak	0
chr10	19780161	19780856	MAP3K5:NM_008580	core_gene_genebody_peak	0
chr10	22012900	22013938	RAET1D:NM_009016:NM_009017:NM_009018:NM_020030	core_gene_genebody_peak	0
chr10	3162944	3163492	CNKSR3:NM_172546	core_gene_genebody_peak	0
chr10	3187321	3188153	CNKSR3:NM_172546	core_gene_genebody_peak	0
chr10	33905419	33905950	DSE:NM_172508	core_gene_genebody_peak	0
chr10	3473428	3474007	OPRM1:NM_001039652	core_gene_genebody_peak	0
chr10	3497691	3498544	OPRM1:NM_001039652	core_gene_genebody_peak	0
chr10	36857075	36857771	MARCKS:NM_008538	core_gene_genebody_peak	0
chr10	39214256	39215050	FYN:NM_001122893:NM_001122892:NM_008054	core_gene_genebody_peak	0
chr10	39332705	39333472	TRAF3IP2:NM_134000	core_gene_TSS_peak	0
chr10	41196074	41196911	MICAL1:NM_138315:NM_001164433	core_gene_TSS_peak	0
chr10	41947783	41948398	FOXO3:NM_019740	core_gene_genebody_peak	0
chr10	42222417	42223057	SNX3:NM_017472	core_gene_genebody_peak	0
chr10	42545750	42546416	SEC63:NM_153055	core_gene_genebody_peak	0
chr10	42551768	42552125	SEC63:NM_153055	core_gene_genebody_peak	0
chr10	42620979	42621789	SCML4:NM_172938	core_gene_genebody_peak	0
chr10	44822741	44823456	PREP:NM_011156	core_gene_genebody_peak	0
chr10	44823831	44824212	PREP:NM_011156	core_gene_genebody_peak	0
chr10	4521921	4522797	MTRF1L:NM_175374	core_gene_TSS_peak	0
chr10	50312090	50312437	ASCC3:NM_001146089:NM_198007	core_gene_genebody_peak	0
chr10	5266303	5266691	SYNE1:NM_001079686:NM_022027	core_gene_genebody_peak	0
chr10	5478145	5478464	ESR1:NM_007956	core_gene_genebody_peak	0
chr10	55780956	55781631	D630037F22RIK:NM_001033385	core_gene_genebody_peak	0
chr10	58540640	58541181	SH3RF3:NM_172788	core_gene_genebody_peak	0
chr10	58798194	58798543	P4HA1:NM_011030	core_gene_genebody_peak	0
chr10	59809757	59810367	4632428N05RIK:NM_001159572:NM_028732	core_gene_genebody_peak	0
chr10	59809757	59810367	CDH23:NM_023370	core_gene_genebody_peak	0
