MaxDensityIndex MaxDensityDiff MaxIndex Max SumIndex Sum V1 V2 V3 V4 V5 V6 V7 V8
42856 28.5 21.5 4705.5 0.001093 790 0.003276 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 2185991 2190991 AC132601.1:NM_001166384 0 +
42855 28.5 21.5 4705.5 0.001093 790 0.003276 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 2185991 2190991 RBMY1A1:NM_011253 0 +
42854 85.5 35.5 2967.5 0.000911 800.5 0.003279 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 2154398 2159398 AC132601.1:NM_001166384 0 +
42853 85.5 35.5 2967.5 0.000911 800.5 0.003279 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 2154398 2159398 RBMY1A1:NM_011253 0 +
42852 68.5 18.5 704.5 0.000364 590.5 0.001092 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 1974083 1979083 NM_001177569:NM_001177569 0 -
42851 68.5 18.5 704.5 0.000364 590.5 0.001092 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 1974083 1979083 1700113O17RIK:NM_001113395 0 -
42850 74 24 2316 0.000729 877 0.004312 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 1917067 1922067 SRY:NM_011564 0 -
42849 50.5 0.5 252.5 0 252.5 0 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 1852508 1857508 1700113O17RIK:NM_001113395 0 +
42848 50.5 0.5 252.5 0 252.5 0 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 1852508 1857508 NM_001177569:NM_001177569 0 +
42847 87.5 37.5 2316 0.000729 1003 0.00528 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 1423856 1428856 ZFY2:NM_009571 0 -
42846 50 0 4705.5 0.001093 1025.5 0.005463 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 793724 798724 USP9Y:NM_148943 0 -
42845 52 2 2488.5 0.000764 1852 0.009674 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 620555 625555 DDX3Y:NM_012008 0 -
42844 4 46 774 0.000382 1210.5 0.006571 refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed 9908_bed chrY 579680 584680 UTY:NM_009484 0 -
