chromosome	source	feature	start	end	length	multiplicity	multovl.union.gff	multovl.strict.gff	sum	code	id
chr1	multovl	overlap	4774764	4776628	1865	2	1	1	2	XX	chr1_4774764_4776628
chr1	multovl	overlap	4797154	4799102	1949	2	1	1	2	XX	chr1_4797154_4799102
chr1	multovl	overlap	4846803	4847748	946	2	1	1	2	XX	chr1_4846803_4847748
chr1	multovl	overlap	4847770	4849208	1439	2	1	1	2	XX	chr1_4847770_4849208
chr1	multovl	overlap	5008992	5009604	613	2	1	1	2	XX	chr1_5008992_5009604
chr1	multovl	overlap	5072786	5074228	1443	2	1	1	2	XX	chr1_5072786_5074228
chr1	multovl	overlap	6203078	6206207	3130	2	1	1	2	XX	chr1_6203078_6206207
chr1	multovl	overlap	7077937	7078922	986	2	1	1	2	XX	chr1_7077937_7078922
chr1	multovl	overlap	7078940	7080963	2024	2	1	1	2	XX	chr1_7078940_7080963
chr1	multovl	overlap	7386795	7388142	1348	2	1	1	2	XX	chr1_7386795_7388142
chr1	multovl	overlap	9534647	9537258	2612	2	1	1	2	XX	chr1_9534647_9537258
chr1	multovl	overlap	9689181	9690562	1382	2	1	1	2	XX	chr1_9689181_9690562
chr1	multovl	overlap	9690615	9691736	1122	2	1	1	2	XX	chr1_9690615_9691736
chr1	multovl	overlap	9735081	9738650	3570	2	1	2	3	XX	chr1_9735081_9738650
chr1	multovl	overlap	9932491	9934608	2118	2	1	1	2	XX	chr1_9932491_9934608
chr1	multovl	overlap	10026833	10030868	4036	2	1	2	3	XX	chr1_10026833_10030868
chr1	multovl	overlap	10221308	10224164	2857	2	1	1	2	XX	chr1_10221308_10224164
chr1	multovl	overlap	10983460	10984842	1383	2	1	1	2	XX	chr1_10983460_10984842
chr1	multovl	overlap	13361773	13363252	1480	2	1	1	2	XX	chr1_13361773_13363252
chr1	multovl	overlap	13363457	13364949	1493	2	1	1	2	XX	chr1_13363457_13364949
chr1	multovl	overlap	13578128	13580018	1891	2	1	1	2	XX	chr1_13578128_13580018
chr1	multovl	overlap	13648664	13651382	2719	2	1	1	2	XX	chr1_13648664_13651382
chr1	multovl	overlap	14293485	14295801	2317	2	1	1	2	XX	chr1_14293485_14295801
chr1	multovl	overlap	14297040	14300545	3506	2	1	1	2	XX	chr1_14297040_14300545
chr1	multovl	overlap	14474188	14474917	730	2	1	1	2	XX	chr1_14474188_14474917
chr1	multovl	overlap	15795083	15796975	1893	2	1	1	2	XX	chr1_15795083_15796975
chr1	multovl	overlap	16092924	16098459	5536	2	1	1	2	XX	chr1_16092924_16098459
chr1	multovl	overlap	16508369	16510570	2202	2	1	1	2	XX	chr1_16508369_16510570
chr1	multovl	overlap	16607060	16610108	3049	2	1	1	2	XX	chr1_16607060_16610108
chr1	multovl	overlap	16645698	16648006	2309	2	1	1	2	XX	chr1_16645698_16648006
chr1	multovl	overlap	16654756	16656681	1926	2	1	1	2	XX	chr1_16654756_16656681
chr1	multovl	overlap	16677779	16679210	1432	2	1	1	2	XX	chr1_16677779_16679210
chr1	multovl	overlap	20809752	20810482	731	2	1	1	2	XX	chr1_20809752_20810482
chr1	multovl	overlap	20880087	20881287	1201	2	1	1	2	XX	chr1_20880087_20881287
chr1	multovl	overlap	20941469	20942541	1073	2	1	1	2	XX	chr1_20941469_20942541
chr1	multovl	overlap	21067064	21070105	3042	2	1	2	3	XX	chr1_21067064_21070105
chr1	multovl	overlap	21208273	21209463	1191	2	1	1	2	XX	chr1_21208273_21209463
chr1	multovl	overlap	21950061	21952486	2426	2	1	2	3	XX	chr1_21950061_21952486
chr1	multovl	overlap	23263056	23265137	2082	2	1	1	2	XX	chr1_23263056_23265137
chr1	multovl	overlap	23389275	23390022	748	2	1	1	2	XX	chr1_23389275_23390022
chr1	multovl	overlap	23927882	23929998	2117	2	1	1	2	XX	chr1_23927882_23929998
chr1	multovl	overlap	24011524	24012844	1321	2	1	1	2	XX	chr1_24011524_24012844
chr1	multovl	overlap	24105665	24107895	2231	2	1	2	3	XX	chr1_24105665_24107895
chr1	multovl	overlap	24113964	24115163	1200	2	1	1	2	XX	chr1_24113964_24115163
chr1	multovl	overlap	24684530	24686755	2226	2	1	1	2	XX	chr1_24684530_24686755
chr1	multovl	overlap	30928654	30930463	1810	2	1	1	2	XX	chr1_30928654_30930463
chr1	multovl	overlap	30930522	30931660	1139	2	1	1	2	XX	chr1_30930522_30931660
chr1	multovl	overlap	31003480	31008045	4566	2	1	2	3	XX	chr1_31003480_31008045
chr1	multovl	overlap	31075946	31076850	905	2	1	1	2	XX	chr1_31075946_31076850
chr1	multovl	overlap	33725838	33727864	2027	2	1	1	2	XX	chr1_33725838_33727864
chr1	multovl	overlap	33776637	33778345	1709	2	1	1	2	XX	chr1_33776637_33778345
chr1	multovl	overlap	33812604	33815112	2509	2	1	1	2	XX	chr1_33812604_33815112
chr1	multovl	overlap	33869755	33872077	2323	2	1	1	2	XX	chr1_33869755_33872077
chr1	multovl	overlap	33964701	33965936	1236	2	1	1	2	XX	chr1_33964701_33965936
chr1	multovl	overlap	34062403	34064268	1866	2	1	1	2	XX	chr1_34062403_34064268
chr1	multovl	overlap	34067625	34069815	2191	2	1	1	2	XX	chr1_34067625_34069815
chr1	multovl	overlap	34177576	34179316	1741	2	1	1	2	XX	chr1_34177576_34179316
chr1	multovl	overlap	34491090	34492752	1663	2	1	1	2	XX	chr1_34491090_34492752
chr1	multovl	overlap	34495543	34497720	2178	2	1	1	2	XX	chr1_34495543_34497720
chr1	multovl	overlap	34858236	34859689	1454	2	1	1	2	XX	chr1_34858236_34859689
chr1	multovl	overlap	34897803	34900735	2933	2	1	1	2	XX	chr1_34897803_34900735
chr1	multovl	overlap	36125263	36127635	2373	2	1	1	2	XX	chr1_36125263_36127635
chr1	multovl	overlap	36300004	36301859	1856	2	1	1	2	XX	chr1_36300004_36301859
chr1	multovl	overlap	36364457	36365405	949	2	1	1	2	XX	chr1_36364457_36365405
chr1	multovl	overlap	36424642	36426079	1438	2	1	1	2	XX	chr1_36424642_36426079
chr1	multovl	overlap	36501037	36502439	1403	2	1	1	2	XX	chr1_36501037_36502439
chr1	multovl	overlap	36568646	36570441	1796	2	1	2	3	XX	chr1_36568646_36570441
chr1	multovl	overlap	36602967	36604287	1321	2	1	1	2	XX	chr1_36602967_36604287
chr1	multovl	overlap	36612204	36615306	3103	2	1	1	2	XX	chr1_36612204_36615306
chr1	multovl	overlap	36747752	36749740	1989	2	1	1	2	XX	chr1_36747752_36749740
chr1	multovl	overlap	36765116	36767122	2007	2	1	1	2	XX	chr1_36765116_36767122
chr1	multovl	overlap	36994453	36997609	3157	2	1	1	2	XX	chr1_36994453_36997609
chr1	multovl	overlap	37356510	37357850	1341	2	1	1	2	XX	chr1_37356510_37357850
chr1	multovl	overlap	37485479	37488311	2833	2	1	1	2	XX	chr1_37485479_37488311
chr1	multovl	overlap	37920935	37922902	1968	2	1	2	3	XX	chr1_37920935_37922902
chr1	multovl	overlap	37928160	37930123	1964	2	1	1	2	XX	chr1_37928160_37930123
chr1	multovl	overlap	37945708	37948517	2810	2	1	1	2	XX	chr1_37945708_37948517
chr1	multovl	overlap	38052774	38056446	3673	2	1	1	2	XX	chr1_38052774_38056446
chr1	multovl	overlap	38184225	38186436	2212	2	1	1	2	XX	chr1_38184225_38186436
chr1	multovl	overlap	38953907	38955434	1528	2	1	1	2	XX	chr1_38953907_38955434
chr1	multovl	overlap	39043720	39045865	2146	2	1	1	2	XX	chr1_39043720_39045865
chr1	multovl	overlap	39424482	39426694	2213	2	1	1	2	XX	chr1_39424482_39426694
chr1	multovl	overlap	39534283	39535667	1385	2	1	1	2	XX	chr1_39534283_39535667
chr1	multovl	overlap	39591777	39594078	2302	2	1	1	2	XX	chr1_39591777_39594078
chr1	multovl	overlap	39632104	39634323	2220	2	1	1	2	XX	chr1_39632104_39634323
chr1	multovl	overlap	39956880	39957553	674	2	1	1	2	XX	chr1_39956880_39957553
chr1	multovl	overlap	39957802	39961192	3391	2	1	1	2	XX	chr1_39957802_39961192
chr1	multovl	overlap	40322757	40324797	2041	2	1	1	2	XX	chr1_40322757_40324797
chr1	multovl	overlap	40381110	40383573	2464	2	1	1	2	XX	chr1_40381110_40383573
chr1	multovl	overlap	40846618	40848249	1632	2	1	1	2	XX	chr1_40846618_40848249
chr1	multovl	overlap	42907492	42909394	1903	2	1	1	2	XX	chr1_42907492_42909394
chr1	multovl	overlap	43148109	43150446	2338	2	1	1	2	XX	chr1_43148109_43150446
chr1	multovl	overlap	43154574	43156527	1954	2	1	1	2	XX	chr1_43154574_43156527
chr1	multovl	overlap	43218900	43221146	2247	2	1	1	2	XX	chr1_43218900_43221146
chr1	multovl	overlap	43502476	43504907	2432	2	1	1	2	XX	chr1_43502476_43504907
chr1	multovl	overlap	43883368	43884723	1356	2	1	1	2	XX	chr1_43883368_43884723
chr1	multovl	overlap	43884798	43885449	652	2	1	1	2	XX	chr1_43884798_43885449
chr1	multovl	overlap	43989591	43992657	3067	2	1	1	2	XX	chr1_43989591_43992657
chr1	multovl	overlap	44098740	44099503	764	2	1	1	2	XX	chr1_44098740_44099503
chr1	multovl	overlap	44157829	44160020	2192	2	1	1	2	XX	chr1_44157829_44160020
chr1	multovl	overlap	44174356	44177530	3175	2	1	1	2	XX	chr1_44174356_44177530
chr1	multovl	overlap	44203912	44206187	2276	2	1	1	2	XX	chr1_44203912_44206187
chr1	multovl	overlap	44607931	44610415	2485	2	1	1	2	XX	chr1_44607931_44610415
chr1	multovl	overlap	45368372	45369890	1519	2	1	1	2	XX	chr1_45368372_45369890
chr1	multovl	overlap	45557571	45560340	2770	2	1	1	2	XX	chr1_45557571_45560340
chr1	multovl	overlap	45851614	45853616	2003	2	1	1	2	XX	chr1_45851614_45853616
