# This file is generated by MACS
# ARGUMENTS LIST:
# name = dataset_28356.dat.32.1e-05
# format = BED
# ChIP-seq file = dataset_28356.dat
# control file = dataset_28356.dat.dataset_28355.dat
# effective genome size = 2.65e+09
# tag size = 36
# band width = 300
# model fold = 32
# pvalue cutoff = 1.00e-05
# Ranges for calculating regional lambda are : peak_region,1000,5000,10000
# unique tags in treatment: 972314
# total tags in treatment: 1000000
# unique tags in control: 21355
# total tags in control: 21428
# d = 200
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr1	4572046	4572855	810	145	6	75.09	40.96	0.00
chr1	4573716	4574503	788	112	6	62.03	40.96	0.03
chr1	6396341	6397081	741	195	7	92.42	68.26	0.00
chr1	6750048	6751477	1430	832	12	136.57	54.61	0.00
chr1	7386975	7388869	1895	924	35	475.75	136.53	0.00
chr1	9581960	9582735	776	176	5	62.41	27.31	0.03
chr1	9663776	9664464	689	505	5	65.39	54.61	0.00
chr1	13257335	13258318	984	487	7	82.90	54.61	0.00
chr1	13563579	13564650	1072	784	17	232.77	109.22	0.00
chr1	13589662	13590748	1087	650	8	93.15	40.96	0.00
chr1	13638071	13638779	709	157	8	109.32	68.26	0.00
chr1	14090705	14091227	523	175	6	83.92	54.61	0.00
chr1	14134252	14134972	721	186	5	64.25	27.31	0.02
chr1	14186333	14187007	675	504	6	80.45	40.96	0.00
chr1	14494506	14495251	746	638	7	77.51	54.61	0.00
chr1	14585743	14586728	986	361	7	82.84	40.96	0.00
chr1	14985442	14986233	792	178	5	61.90	54.61	0.03
chr1	15840253	15841038	786	639	5	62.09	40.96	0.03
chr1	16496058	16496462	405	200	5	99.55	54.61	0.00
chr1	21323423	21324096	674	311	5	65.95	40.96	0.00
chr1	21544642	21545308	667	359	8	111.64	54.61	0.00
chr1	21819885	21820395	511	334	8	132.27	68.26	0.00
chr1	23262570	23263524	955	337	7	83.90	54.61	0.00
chr1	23727139	23727702	564	164	5	68.88	40.96	0.00
chr1	24618257	24623124	4868	2395	5214	3100.00	4054.80	0.00
chr1	30929759	30931454	1696	1256	13	127.33	68.26	0.00
chr1	33338411	33339627	1217	298	17	223.07	122.87	0.00
chr1	34301366	34302360	995	502	7	82.53	54.61	0.00
chr1	34528775	34530197	1423	476	10	109.22	40.96	0.00
chr1	34535725	34536460	736	192	5	63.74	27.31	0.02
chr1	35709796	35710673	878	304	8	101.20	40.96	0.00
chr1	35870066	35870945	880	636	18	265.61	136.53	0.00
chr1	35884864	35885329	466	143	5	83.92	40.96	0.00
chr1	36185833	36186433	601	196	8	115.62	68.26	0.00
chr1	36287811	36288420	610	179	6	83.44	68.26	0.00
chr1	36320701	36321503	803	530	13	168.23	95.57	0.00
chr1	36370040	36370664	625	495	5	67.85	40.96	0.00
chr1	36823082	36824510	1429	808	15	180.34	68.26	0.00
chr1	36841395	36842667	1273	542	9	100.58	54.61	0.00
chr1	36853588	36854819	1232	398	16	206.12	68.26	0.00
chr1	36892441	36893006	566	180	5	68.88	40.96	0.00
chr1	36978478	36979161	684	185	5	65.57	54.61	0.00
chr1	37366532	37367103	572	338	6	83.92	54.61	0.00
chr1	37529861	37530499	639	464	5	67.29	54.61	0.00
chr1	37603386	37604440	1055	422	19	268.06	136.53	0.00
chr1	37642590	37643315	726	322	13	191.02	95.57	0.00
chr1	37657315	37658034	720	305	6	78.55	40.96	0.00
chr1	37722299	37722830	532	347	6	83.92	68.26	0.00
chr1	37753792	37754453	662	170	6	81.02	54.61	0.00
chr1	38714174	38715183	1010	563	12	155.58	109.22	0.00
chr1	38750841	38751923	1083	483	13	167.24	95.57	0.00
chr1	38752456	38753650	1195	576	13	146.36	81.92	0.00
chr1	38904688	38905312	625	427	5	67.85	54.61	0.00
chr1	39770452	39771704	1253	448	12	143.77	54.61	0.00
chr1	39791050	39791970	921	177	11	144.79	68.26	0.00
chr1	39792636	39793950	1315	697	11	112.83	54.61	0.00
chr1	39952184	39953315	1132	493	10	119.72	54.61	0.00
chr1	39992137	39992928	792	145	6	75.75	40.96	0.00
