chromosome	source	feature	start	end	length	multiplicity	tracknum	count	name	strand	from	to	id	id_orig	sum	code
chr1	multovl	overlap	4775063	4776424	1362	2	1	1	MACS_peak_1	.	4775063	4776424	chr1_4775063_4776424	chr1_4775063_4776424	2	XX
chr1	multovl	overlap	4775063	4776424	1362	2	2	1	MACS_peak_1	.	4774764	4776628	chr1_4775063_4776424	chr1_4774764_4776628	2	XX
chr1	multovl	overlap	4797196	4799059	1864	2	1	1	MACS_peak_2	.	4797196	4799059	chr1_4797196_4799059	chr1_4797196_4799059	2	XX
chr1	multovl	overlap	4797196	4799059	1864	2	2	1	MACS_peak_2	.	4797154	4799102	chr1_4797196_4799059	chr1_4797154_4799102	2	XX
chr1	multovl	overlap	4847001	4847732	732	2	1	1	MACS_peak_3	.	4847001	4847732	chr1_4847001_4847732	chr1_4847001_4847732	2	XX
chr1	multovl	overlap	4847001	4847732	732	2	2	1	MACS_peak_3	.	4846803	4847748	chr1_4847001_4847732	chr1_4846803_4847748	2	XX
chr1	multovl	overlap	4847800	4849169	1370	2	1	1	MACS_peak_4	.	4847800	4849169	chr1_4847800_4849169	chr1_4847800_4849169	2	XX
chr1	multovl	overlap	4847800	4849169	1370	2	2	1	MACS_peak_4	.	4847770	4849208	chr1_4847800_4849169	chr1_4847770_4849208	2	XX
chr1	multovl	overlap	5008992	5009604	613	1	1	1	MACS_peak_5	.	5008992	5009604	chr1_5008992_5009604	chr1_5008992_5009604	1	X0
chr1	multovl	overlap	5072823	5074143	1321	2	1	1	MACS_peak_6	.	5072786	5074143	chr1_5072823_5074143	chr1_5072786_5074143	2	XX
chr1	multovl	overlap	5072823	5074143	1321	2	2	1	MACS_peak_5	.	5072823	5074228	chr1_5072823_5074143	chr1_5072823_5074228	2	XX
chr1	multovl	overlap	6203214	6206130	2917	2	1	1	MACS_peak_7	.	6203214	6206130	chr1_6203214_6206130	chr1_6203214_6206130	2	XX
chr1	multovl	overlap	6203214	6206130	2917	2	2	1	MACS_peak_6	.	6203078	6206207	chr1_6203214_6206130	chr1_6203078_6206207	2	XX
chr1	multovl	overlap	7077994	7078882	889	2	1	1	MACS_peak_8	.	7077994	7078922	chr1_7077994_7078882	chr1_7077994_7078922	2	XX
chr1	multovl	overlap	7077994	7078882	889	2	2	1	MACS_peak_7	.	7077937	7078882	chr1_7077994_7078882	chr1_7077937_7078882	2	XX
chr1	multovl	overlap	7078965	7080502	1538	2	1	1	MACS_peak_9	.	7078940	7080502	chr1_7078965_7080502	chr1_7078940_7080502	2	XX
chr1	multovl	overlap	7078965	7080502	1538	2	2	1	MACS_peak_8	.	7078965	7080963	chr1_7078965_7080502	chr1_7078965_7080963	2	XX
chr1	multovl	overlap	7386923	7388129	1207	2	1	1	MACS_peak_10	.	7386923	7388129	chr1_7386923_7388129	chr1_7386923_7388129	2	XX
chr1	multovl	overlap	7386923	7388129	1207	2	2	1	MACS_peak_9	.	7386795	7388142	chr1_7386923_7388129	chr1_7386795_7388142	2	XX
