chromosome	source	feature	start	end	length	multiplicity	peaks1.bed.bed	peaks2.bed.bed	sum	code	id
chr1	multovl	overlap	4775063	4776424	1362	2	1	1	2	XX	chr1_4775063_4776424
chr1	multovl	overlap	4797196	4799059	1864	2	1	1	2	XX	chr1_4797196_4799059
chr1	multovl	overlap	4847001	4847732	732	2	1	1	2	XX	chr1_4847001_4847732
chr1	multovl	overlap	4847800	4849169	1370	2	1	1	2	XX	chr1_4847800_4849169
chr1	multovl	overlap	5008992	5009604	613	1	1	0	1	X0	chr1_5008992_5009604
chr1	multovl	overlap	5072823	5074143	1321	2	1	1	2	XX	chr1_5072823_5074143
chr1	multovl	overlap	6203214	6206130	2917	2	1	1	2	XX	chr1_6203214_6206130
chr1	multovl	overlap	7077994	7078882	889	2	1	1	2	XX	chr1_7077994_7078882
chr1	multovl	overlap	7078965	7080502	1538	2	1	1	2	XX	chr1_7078965_7080502
chr1	multovl	overlap	7386923	7388129	1207	2	1	1	2	XX	chr1_7386923_7388129
chr1	multovl	overlap	9534713	9537250	2538	2	1	1	2	XX	chr1_9534713_9537250
chr1	multovl	overlap	9689487	9690516	1030	2	1	1	2	XX	chr1_9689487_9690516
chr1	multovl	overlap	9690664	9691585	922	2	1	1	2	XX	chr1_9690664_9691585
chr1	multovl	overlap	9735341	9736360	1020	2	1	1	2	XX	chr1_9735341_9736360
chr1	multovl	overlap	9736413	9738645	2233	2	1	1	2	XX	chr1_9736413_9738645
chr1	multovl	overlap	9932628	9934527	1900	2	1	1	2	XX	chr1_9932628_9934527
chr1	multovl	overlap	10027109	10028573	1465	2	1	1	2	XX	chr1_10027109_10028573
chr1	multovl	overlap	10029799	10030481	683	2	1	1	2	XX	chr1_10029799_10030481
chr1	multovl	overlap	10221569	10224150	2582	2	1	1	2	XX	chr1_10221569_10224150
chr1	multovl	overlap	10983511	10984679	1169	2	1	1	2	XX	chr1_10983511_10984679
chr1	multovl	overlap	13361791	13363234	1444	2	1	1	2	XX	chr1_13361791_13363234
chr1	multovl	overlap	13363724	13364899	1176	2	1	1	2	XX	chr1_13363724_13364899
chr1	multovl	overlap	13578727	13580015	1289	2	1	1	2	XX	chr1_13578727_13580015
chr1	multovl	overlap	13649806	13651266	1461	2	1	1	2	XX	chr1_13649806_13651266
chr1	multovl	overlap	14293485	14295801	2317	1	0	1	1	0X	chr1_14293485_14295801
chr1	multovl	overlap	14299160	14300430	1271	2	1	1	2	XX	chr1_14299160_14300430
chr1	multovl	overlap	14474188	14474917	730	1	0	1	1	0X	chr1_14474188_14474917
chr1	multovl	overlap	15795335	15796737	1403	2	1	1	2	XX	chr1_15795335_15796737
chr1	multovl	overlap	16093463	16098048	4586	2	1	1	2	XX	chr1_16093463_16098048
chr1	multovl	overlap	16508453	16510530	2078	2	1	1	2	XX	chr1_16508453_16510530
chr1	multovl	overlap	16607715	16609816	2102	2	1	1	2	XX	chr1_16607715_16609816
chr1	multovl	overlap	16645995	16647937	1943	2	1	1	2	XX	chr1_16645995_16647937
chr1	multovl	overlap	16654862	16656563	1702	2	1	1	2	XX	chr1_16654862_16656563
chr1	multovl	overlap	16677779	16679132	1354	2	1	1	2	XX	chr1_16677779_16679132
chr1	multovl	overlap	20809903	20810474	572	2	1	1	2	XX	chr1_20809903_20810474
chr1	multovl	overlap	20880225	20881082	858	2	1	1	2	XX	chr1_20880225_20881082
chr1	multovl	overlap	20941469	20942541	1073	1	0	1	1	0X	chr1_20941469_20942541
chr1	multovl	overlap	21067593	21069363	1771	2	1	1	2	XX	chr1_21067593_21069363
chr1	multovl	overlap	21069440	21070078	639	2	1	1	2	XX	chr1_21069440_21070078
chr1	multovl	overlap	21208281	21209383	1103	2	1	1	2	XX	chr1_21208281_21209383
chr1	multovl	overlap	21950295	21951555	1261	2	1	1	2	XX	chr1_21950295_21951555
chr1	multovl	overlap	21951606	21951685	80	2	1	1	2	XX	chr1_21951606_21951685
chr1	multovl	overlap	23263649	23264575	927	2	1	1	2	XX	chr1_23263649_23264575
chr1	multovl	overlap	23389275	23390022	748	1	0	1	1	0X	chr1_23389275_23390022
chr1	multovl	overlap	23928125	23929202	1078	2	1	1	2	XX	chr1_23928125_23929202
chr1	multovl	overlap	24011829	24012734	906	2	1	1	2	XX	chr1_24011829_24012734
chr1	multovl	overlap	24105867	24107145	1279	2	1	1	2	XX	chr1_24105867_24107145
chr1	multovl	overlap	24107253	24107888	636	2	1	1	2	XX	chr1_24107253_24107888
chr1	multovl	overlap	24114100	24114885	786	2	1	1	2	XX	chr1_24114100_24114885
chr1	multovl	overlap	24684700	24686456	1757	2	1	1	2	XX	chr1_24684700_24686456
chr1	multovl	overlap	30929253	30930305	1053	2	1	1	2	XX	chr1_30929253_30930305
chr1	multovl	overlap	30930522	30931660	1139	1	0	1	1	0X	chr1_30930522_30931660
chr1	multovl	overlap	31005058	31006412	1355	2	1	1	2	XX	chr1_31005058_31006412
chr1	multovl	overlap	31006564	31007720	1157	2	1	1	2	XX	chr1_31006564_31007720
chr1	multovl	overlap	31075946	31076850	905	1	0	1	1	0X	chr1_31075946_31076850
chr1	multovl	overlap	33725990	33727789	1800	2	1	1	2	XX	chr1_33725990_33727789
chr1	multovl	overlap	33776860	33777778	919	2	1	1	2	XX	chr1_33776860_33777778
chr1	multovl	overlap	33813106	33815035	1930	2	1	1	2	XX	chr1_33813106_33815035
chr1	multovl	overlap	33870029	33871999	1971	2	1	1	2	XX	chr1_33870029_33871999
chr1	multovl	overlap	33964734	33965865	1132	2	1	1	2	XX	chr1_33964734_33965865
chr1	multovl	overlap	34062695	34063765	1071	2	1	1	2	XX	chr1_34062695_34063765
chr1	multovl	overlap	34068388	34069543	1156	2	1	1	2	XX	chr1_34068388_34069543
chr1	multovl	overlap	34177645	34178544	900	2	1	1	2	XX	chr1_34177645_34178544
chr1	multovl	overlap	34491090	34492752	1663	1	0	1	1	0X	chr1_34491090_34492752
chr1	multovl	overlap	34495556	34497545	1990	2	1	1	2	XX	chr1_34495556_34497545
chr1	multovl	overlap	34858273	34859628	1356	2	1	1	2	XX	chr1_34858273_34859628
chr1	multovl	overlap	34897962	34900579	2618	2	1	1	2	XX	chr1_34897962_34900579
chr1	multovl	overlap	36125302	36126917	1616	2	1	1	2	XX	chr1_36125302_36126917
chr1	multovl	overlap	36300082	36301392	1311	2	1	1	2	XX	chr1_36300082_36301392
chr1	multovl	overlap	36364520	36365184	665	2	1	1	2	XX	chr1_36364520_36365184
chr1	multovl	overlap	36424772	36425958	1187	2	1	1	2	XX	chr1_36424772_36425958
chr1	multovl	overlap	36501293	36502380	1088	2	1	1	2	XX	chr1_36501293_36502380
chr1	multovl	overlap	36568702	36569138	437	2	1	1	2	XX	chr1_36568702_36569138
chr1	multovl	overlap	36569281	36570380	1100	2	1	1	2	XX	chr1_36569281_36570380
chr1	multovl	overlap	36603327	36604150	824	2	1	1	2	XX	chr1_36603327_36604150
chr1	multovl	overlap	36612271	36615143	2873	2	1	1	2	XX	chr1_36612271_36615143
chr1	multovl	overlap	36748305	36749565	1261	2	1	1	2	XX	chr1_36748305_36749565
chr1	multovl	overlap	36765203	36766992	1790	2	1	1	2	XX	chr1_36765203_36766992
chr1	multovl	overlap	36994888	36997510	2623	2	1	1	2	XX	chr1_36994888_36997510
chr1	multovl	overlap	37356650	37357807	1158	2	1	1	2	XX	chr1_37356650_37357807
chr1	multovl	overlap	37485640	37488221	2582	2	1	1	2	XX	chr1_37485640_37488221
chr1	multovl	overlap	37921040	37921853	814	2	1	1	2	XX	chr1_37921040_37921853
chr1	multovl	overlap	37921951	37922902	952	2	1	1	2	XX	chr1_37921951_37922902
chr1	multovl	overlap	37929032	37930049	1018	2	1	1	2	XX	chr1_37929032_37930049
chr1	multovl	overlap	37945860	37948231	2372	2	1	1	2	XX	chr1_37945860_37948231
chr1	multovl	overlap	38052835	38056368	3534	2	1	1	2	XX	chr1_38052835_38056368
chr1	multovl	overlap	38184895	38186422	1528	2	1	1	2	XX	chr1_38184895_38186422
chr1	multovl	overlap	38953957	38955213	1257	2	1	1	2	XX	chr1_38953957_38955213
chr1	multovl	overlap	39043755	39045805	2051	2	1	1	2	XX	chr1_39043755_39045805
chr1	multovl	overlap	39424638	39426414	1777	2	1	1	2	XX	chr1_39424638_39426414
chr1	multovl	overlap	39534295	39535618	1324	2	1	1	2	XX	chr1_39534295_39535618
chr1	multovl	overlap	39591951	39593959	2009	2	1	1	2	XX	chr1_39591951_39593959
