# This file is generated by MACS								
# ARGUMENTS LIST:								
# name = 9102.4.pe100.36.bowtie.r1.27277536.32.1e-05								
# format = BED								
# ChIP-seq file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/subsamples/9102.4.pe100.36.bowtie.r1.27277536.bed								
# control file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/subsamples/10195.6.pe76.36.bowtie.r1.22477991.bed								
# effective genome size = 2.65e+09								
# tag size = 36								
# band width = 300								
# model fold = 17								
# pvalue cutoff = 1.00e-05								
# Ranges for calculating regional lambda are : peak_region,1000,5000,10000								
# unique tags in treatment: 22718727								
# total tags in treatment: 27277536								
# unique tags in control: 19975494								
# total tags in control: 22477991								
# d = 159								
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr1	3480361	3480718	358	146	13	53.66	8.08	10.64
chr1	4414659	4415312	654	297	18	51.66	8.08	12.41
chr1	4469597	4470144	548	198	18	51.52	5.53	12.51
chr1	4482106	4482931	826	487	36	84.37	6.91	2.1
chr1	4483096	4484035	940	336	39	112.64	8.85	1.4
chr1	4561429	4562243	815	473	33	67.7	6.38	4.36
chr1	4764953	4765722	770	270	36	99.63	6.56	1.54
chr1	4797407	4798384	978	538	64	345.18	19.84	1.87
chr1	4847252	4848738	1487	504	83	383.66	22.05	2.06
chr1	5072801	5073779	979	329	40	104.76	9.74	1.45
chr1	5160278	5160763	486	245	25	122.46	12.49	1.31
chr1	6204187	6205052	866	458	41	110.94	8.29	1.39
chr1	6372826	6373395	570	337	19	66.27	9.55	4.87
chr1	6648516	6649162	647	331	26	102.79	11.02	1.46
chr1	6729953	6730446	494	358	17	62.66	7.35	5.8
chr1	6750529	6751280	752	347	36	144.82	13.17	1.33
chr1	7078278	7079472	1195	800	70	271.76	12.67	1.71
chr1	7090619	7091125	507	210	23	88.76	9.32	1.89
chr1	7153690	7154345	656	346	63	350.04	16.69	1.93
chr1	7386988	7387425	438	156	16	52.18	7.87	11.93
chr1	7387489	7388815	1327	594	89	420.31	20.28	2.53
chr1	8095977	8096593	617	236	18	55.18	7.35	9.59
chr1	9289272	9289759	488	135	15	50.82	7.35	13.18
chr1	9534966	9536953	1988	659	100	262.7	7.37	1.65
chr1	9581991	9582506	516	255	20	62.62	6.91	5.8
chr1	9689542	9691150	1609	517	68	200.77	8.6	1.33
chr1	9737466	9739053	1588	1149	91	228.92	9.55	1.41
chr1	9788208	9789381	1174	341	38	79.52	5.79	2.55
chr1	9823310	9823977	668	396	46	181.68	11.52	1.33
chr1	9847432	9848209	778	467	30	60.75	6.45	6.57
chr1	9849213	9849764	552	275	24	52.34	5.13	11.82
chr1	9933721	9934630	910	495	47	140.39	14.07	1.32
chr1	9957024	9957684	661	273	27	75.14	6.64	3.03
chr1	9957696	9958542	847	491	32	70.81	5.32	3.75
chr1	10027467	10028402	936	480	42	57.15	4.92	8.27
chr1	10029376	10030521	1146	777	56	185.99	9.95	1.34
chr1	10222078	10223668	1591	1016	77	278.08	9.94	1.72
chr1	10867247	10867853	607	394	24	73.29	9.83	3.3
chr1	10983583	10984361	779	373	34	62.66	5.16	5.79
chr1	11319396	11319983	588	216	20	61.98	6.5	6.09
chr1	11649625	11650105	481	206	16	52.96	6.74	11.31
chr1	12847519	12848035	517	268	16	52.18	7.15	11.93
chr1	12980176	12981181	1006	681	39	77.24	5.07	2.79
chr1	12981757	12983290	1534	1185	60	132.61	5.74	1.28
chr1	13151463	13152970	1508	817	54	65.64	4.35	5.02
chr1	13257221	13258122	902	491	39	110.46	6.78	1.4
chr1	13325790	13326482	693	443	24	61.21	5.59	6.37
chr1	13362166	13364918	2753	731	175	656.21	18.61	4.39
chr1	13418032	13418655	624	276	20	54.98	6.83	9.69
chr1	13558774	13559636	863	426	34	80.99	5.87	2.39
chr1	13578908	13580561	1654	1259	126	606.81	19.75	3.9
chr1	13583073	13583956	884	406	45	90.5	7.95	1.84
chr1	13590220	13591390	1171	466	70	154.02	7.81	1.33
chr1	13591499	13591936	438	256	24	65.6	7.1	5.03
chr1	13637733	13638599	867	473	56	156.26	11.43	1.34
chr1	13649943	13651047	1105	729	71	159.26	8.29	1.35
chr1	14110914	14111581	668	390	19	55.91	8.82	9.08
chr1	14133672	14134649	978	566	53	95.84	8.6	1.65
chr1	14299621	14300391	771	337	68	250.83	11.75	1.56
chr1	14496704	14497433	730	379	29	93.47	9.83	1.71
chr1	14585757	14586516	760	424	29	55.93	5.96	9.08
chr1	14745092	14746031	940	505	43	66.81	5.2	4.74
chr1	14908413	14909139	727	466	62	372.37	23.7	1.98
chr1	14914816	14915538	723	351	26	54.49	8	9.99
chr1	15276440	15277213	774	395	29	101.96	8.51	1.44
chr1	15795494	15796548	1055	633	60	148.05	10.69	1.32
chr1	15882371	15883170	800	297	36	112.48	7.05	1.4
chr1	16082832	16083466	635	325	21	71.23	8.08	3.67
chr1	16094235	16096615	2381	1569	121	388.03	8.76	2.13
chr1	16167544	16168369	826	497	34	63.67	5.92	5.56
chr1	16215546	16216076	531	158	25	56.88	7.2	8.42
chr1	16217844	16218816	973	480	83	331.91	12.24	1.93
chr1	16334519	16335275	757	387	26	70.25	8.97	3.9
chr1	16502733	16503636	904	484	53	126.81	11.41	1.29
chr1	16509083	16509646	564	170	23	77.37	10.22	2.78
chr1	16608348	16609876	1529	934	86	187.31	6.74	1.31
chr1	16646310	16647613	1304	592	73	253.82	8.24	1.57
chr1	16655091	16656014	924	156	46	131.44	7.9	1.29
chr1	16678327	16679237	911	473	52	204.49	16.23	1.34
chr1	17086884	17088114	1231	347	46	57.87	4.06	7.95
chr1	18047906	18048693	788	643	28	57.62	5.03	8.09
chr1	20809786	20810740	955	563	53	150.11	11.31	1.34
chr1	20880013	20881719	1707	626	110	404.65	12.61	2.37
chr1	20924535	20925812	1278	517	51	142.04	7.37	1.32
