chromosome	start	end	strand	length	tracknum	peaks1.bed.bed	peaks2.bed.bed	code
chr10	100051293	100052181	.	888	1	1	1	XX
chr10	10277153	10278255	.	1102	1	1	1	XX
chr10	105009796	105011204	.	1408	1	1	1	XX
chr10	105011433	105012223	.	790	1	1	1	XX
chr10	105278071	105279420	.	1349	1	1	1	XX
chr10	107589618	107605998	.	16380	1	1	0	X0
chr10	10869154	10870526	.	1372	1	1	1	XX
chr10	11000196	11001306	.	1110	1	1	1	XX
chr10	11001344	11002445	.	1101	1	1	1	XX
chr10	110182423	110183207	.	784	1	1	1	XX
chr10	110356604	110357982	.	1378	1	1	0	X0
chr10	110445886	110446902	.	1016	1	1	1	XX
chr10	110601724	110602951	.	1227	1	1	1	XX
chr10	110735355	110736371	.	1016	1	1	1	XX
chr10	110910398	110911382	.	984	1	1	1	XX
chr10	110943509	110945702	.	2193	1	1	1	XX
chr10	111409543	111410806	.	1263	1	1	1	XX
chr10	112365261	112366136	.	875	1	1	1	XX
chr10	114687725	114688663	.	938	1	1	1	XX
chr10	114750837	114753339	.	2502	1	1	1	XX
chr10	114798835	114799373	.	538	1	1	1	XX
chr10	114820894	114823322	.	2428	1	1	2	XX
chr10	116017455	116018277	.	822	1	1	0	X0
chr10	116018520	116019209	.	689	1	1	1	XX
chr10	116574098	116596179	.	22081	1	1	1	XX
chr10	116828858	116832959	.	4101	1	1	0	X0
chr10	117226532	117233124	.	6592	1	1	0	X0
chr10	118305628	118306255	.	627	1	1	0	X0
chr10	118675711	118677180	.	1469	1	1	1	XX
chr10	118677203	118677989	.	786	1	1	1	XX
chr10	119548974	119550031	.	1057	1	1	1	XX
chr10	119645716	119646897	.	1181	1	1	1	XX
chr10	119663741	119665333	.	1592	1	1	1	XX
chr10	119911048	119912017	.	969	1	2	4	XX
chr10	119912218	119915051	.	2833	1	2	4	XX
chr10	120335250	120335857	.	607	1	1	0	X0
chr10	120335867	120336489	.	622	1	1	0	X0
chr10	120414868	120416460	.	1592	1	1	1	XX
chr10	120802154	120803616	.	1462	1	1	1	XX
chr10	121022387	121023714	.	1327	1	2	1	XX
chr10	121023837	121024705	.	868	1	2	1	XX
chr10	121062109	121063648	.	1539	1	1	1	XX
chr10	121176276	121177796	.	1520	1	1	1	XX
chr10	121483576	121484698	.	1122	1	1	1	XX
chr10	121533359	121534284	.	925	1	1	0	X0
chr10	121885481	121887162	.	1681	1	1	1	XX
chr10	122348454	122348948	.	494	1	1	1	XX
chr10	122421239	122421981	.	742	1	1	1	XX
chr10	122422186	122422940	.	754	1	1	1	XX
chr10	122512147	122513248	.	1101	1	1	1	XX
chr10	122632515	122633283	.	768	1	1	1	XX
chr10	122633682	122634861	.	1179	1	1	1	XX
chr10	125403180	125404503	.	1323	1	1	1	XX
chr10	12586709	12589519	.	2810	1	1	1	XX
chr10	126337756	126338406	.	650	1	1	1	XX
chr10	126342521	126343094	.	573	1	1	1	XX
chr10	12642232	12643477	.	1245	1	1	0	X0
chr10	126467040	126468226	.	1186	1	1	1	XX
chr10	126477770	126479666	.	1896	1	1	1	XX
chr10	126500599	126502151	.	1552	1	1	1	XX
chr10	126506109	126507382	.	1273	1	2	1	XX
chr10	126507523	126508420	.	897	1	2	1	XX
chr10	126515863	126516501	.	638	1	1	0	X0
chr10	126557241	126558346	.	1105	1	1	1	XX
chr10	126625118	126627213	.	2095	1	1	2	XX
chr10	126631803	126633572	.	1769	1	1	1	XX
chr10	126647393	126648771	.	1378	1	1	1	XX
chr10	126703400	126704873	.	1473	1	1	1	XX
chr10	126724117	126725789	.	1672	1	1	1	XX
chr10	126727710	126729803	.	2093	1	1	1	XX
chr10	126747614	126749780	.	2166	1	1	1	XX
chr10	12683560	12684702	.	1142	1	1	1	XX
chr10	126958460	126959718	.	1258	1	1	1	XX
chr10	127055640	127058188	.	2548	1	1	1	XX
chr10	127058227	127058821	.	594	1	1	0	X0
chr10	127079066	127081856	.	2790	1	1	1	XX
chr10	127101623	127103840	.	2217	1	1	1	XX
chr10	127176695	127177603	.	908	1	1	1	XX
chr10	12728129	12729251	.	1122	1	1	1	XX
chr10	127471815	127473694	.	1879	1	1	1	XX
chr10	127495213	127497495	.	2282	1	1	2	XX
chr10	127519501	127520128	.	627	1	1	1	XX
chr10	127520228	127521692	.	1464	1	1	1	XX
chr10	127528832	127530386	.	1554	1	1	1	XX
chr10	127533994	127535264	.	1270	1	1	1	XX
chr10	127612663	127613676	.	1013	1	1	1	XX
chr10	127630952	127632261	.	1309	1	1	1	XX
chr10	127647739	127649330	.	1591	1	1	1	XX
chr10	127669108	127669720	.	612	1	1	1	XX
chr10	127707483	127709060	.	1577	1	1	1	XX
chr10	127759202	127760462	.	1260	1	1	1	XX
chr10	127773980	127775952	.	1972	1	1	1	XX
chr10	127805061	127806739	.	1678	1	1	1	XX
chr10	127814278	127815282	.	1004	1	1	1	XX
chr10	127845672	127846962	.	1290	1	1	1	XX
chr10	127847925	127849941	.	2016	1	1	1	XX
chr10	127895476	127896598	.	1122	1	1	1	XX
chr10	127896701	127897462	.	761	1	1	1	XX
chr10	127929052	127932214	.	3162	1	1	1	XX
chr10	127961975	127963096	.	1121	1	1	1	XX
chr10	127983675	127985074	.	1399	1	2	1	XX
chr10	127985490	127986330	.	840	1	2	1	XX
chr10	128001973	128003219	.	1246	1	1	1	XX
chr10	128062526	128063800	.	1274	1	1	1	XX
chr10	128132303	128133418	.	1115	1	1	1	XX
chr10	128140903	128142209	.	1306	1	1	1	XX
chr10	128184493	128186310	.	1817	1	1	1	XX
chr10	128240309	128242753	.	2444	1	1	1	XX
chr10	128258859	128260144	.	1285	1	1	1	XX
chr10	128327408	128328642	.	1234	1	1	1	XX
chr10	128346870	128348785	.	1915	1	1	1	XX
chr10	128360235	128361381	.	1146	1	1	1	XX
chr10	12912290	12913046	.	756	1	1	1	XX
chr10	129978901	129979955	.	1054	1	1	1	XX
chr10	13272102	13273912	.	1810	1	1	1	XX
chr10	13684702	13686764	.	2062	1	2	1	XX
chr10	13686892	13688058	.	1166	1	2	1	XX
chr10	14424303	14425471	.	1168	1	1	1	XX
chr10	17441436	17442992	.	1556	1	2	1	XX
chr10	17443004	17444485	.	1481	1	2	1	XX
chr10	17666682	17667575	.	893	1	1	0	X0
chr10	17741921	17743189	.	1268	1	1	1	XX
chr10	17954144	17955417	.	1273	1	1	1	XX
chr10	18733801	18735274	.	1473	1	1	2	XX
chr10	20031140	20031878	.	738	1	2	1	XX
chr10	20031960	20033283	.	1323	1	2	1	XX
chr10	20672438	20673018	.	580	1	1	1	XX
chr10	21015816	21016625	.	809	1	1	1	XX
chr10	21713626	21714425	.	799	1	2	1	XX
chr10	21714451	21715194	.	743	1	2	1	XX
chr10	22449974	22452184	.	2210	1	1	2	XX
chr10	23068959	23069869	.	910	1	1	0	X0
chr10	23506006	23507157	.	1151	1	1	1	XX
chr10	24315117	24316487	.	1370	1	1	1	XX
chr10	24589786	24590510	.	724	1	1	1	XX
chr10	25079881	25080759	.	878	1	1	1	XX
chr10	26093156	26094002	.	846	1	1	1	XX
chr10	26094110	26095022	.	912	1	1	0	X0
chr10	27794640	27796950	.	2310	1	1	1	XX
chr10	29033177	29033888	.	711	1	1	1	XX
chr10	29080728	29082466	.	1738	1	1	2	XX
chr10	29919630	29920518	.	888	1	1	1	XX
chr10	30319481	30321198	.	1717	1	1	1	XX
chr10	30337386	30338315	.	929	1	1	1	XX
chr10	30521970	30522810	.	840	1	1	2	XX
chr10	31033129	31033920	.	791	1	1	1	XX
chr10	31327951	31329986	.	2035	1	1	1	XX
chr10	3133773	3135914	.	2141	1	1	1	XX
chr10	33670548	33671309	.	761	1	1	1	XX
chr10	33738515	33739357	.	842	1	1	1	XX
chr10	33926219	33927192	.	973	1	1	1	XX
chr10	34001801	34003355	.	1554	1	1	1	XX
chr10	34017041	34018168	.	1127	1	1	1	XX
chr10	34203004	34204752	.	1748	1	1	1	XX
chr10	36693874	36695642	.	1768	1	1	1	XX
chr10	36856983	36858636	.	1653	1	1	1	XX
chr10	38685440	38686454	.	1014	1	2	1	XX
chr10	38686519	38687425	.	906	1	2	1	XX
chr10	38853371	38854546	.	1175	1	1	1	XX
chr10	39332691	39333618	.	927	1	1	1	XX
chr10	39451864	39453310	.	1446	1	1	1	XX
chr10	39966001	39967126	.	1125	1	1	1	XX
chr10	40020357	40021342	.	985	1	1	0	X0
chr10	40021845	40022923	.	1078	1	1	1	XX
chr10	40068418	40069012	.	594	1	2	1	XX
chr10	40069060	40070097	.	1037	1	2	1	XX
chr10	40602151	40603321	.	1170	1	2	2	XX
chr10	40603676	40604656	.	980	1	2	2	XX
chr10	41022167	41024059	.	1892	1	1	1	XX
chr10	41169370	41170672	.	1302	1	1	1	XX
chr10	41209147	41210730	.	1583	1	1	1	XX
chr10	41238320	41240304	.	1984	1	1	2	XX
chr10	41529095	41531226	.	2131	1	1	1	XX
chr10	41606990	41607947	.	957	1	1	1	XX
chr10	41993541	41995484	.	1943	1	1	1	XX
chr10	41995500	41996588	.	1088	1	3	1	XX
chr10	41996644	41997481	.	837	1	3	1	XX
chr10	41997656	41998712	.	1056	1	3	1	XX
chr10	42197339	42198439	.	1100	1	1	1	XX
chr10	42221866	42223292	.	1426	1	1	1	XX
chr10	42398424	42399599	.	1175	1	1	1	XX
chr10	42481227	42483030	.	1803	1	1	1	XX
chr10	42940481	42942194	.	1713	1	1	1	XX
chr10	43198171	43198757	.	586	1	1	0	X0
chr10	43259816	43260846	.	1030	1	1	1	XX
chr10	43298847	43299934	.	1087	1	1	1	XX
chr10	43620877	43622382	.	1505	1	1	1	XX
chr10	43722796	43724357	.	1561	1	1	1	XX
chr10	43987300	43988124	.	824	1	1	1	XX
chr10	4424146	4424834	.	688	1	1	0	X0
chr10	44786035	44786891	.	856	1	1	0	X0
chr10	44786901	44788152	.	1251	1	1	1	XX
chr10	4521331	4522192	.	861	1	1	1	XX
chr10	4522596	4523455	.	859	1	1	1	XX
chr10	45297985	45298716	.	731	1	1	1	XX
chr10	4541068	4541804	.	736	1	1	1	XX
chr10	50311737	50313426	.	1689	1	1	2	XX
chr10	52100750	52102671	.	1921	1	1	2	XX
chr10	52137346	52139217	.	1871	1	1	1	XX
chr10	53098595	53099447	.	852	1	1	0	X0
chr10	53348971	53349853	.	882	1	1	1	XX
chr10	53793475	53795710	.	2235	1	1	2	XX
chr10	55948100	55948888	.	788	1	1	1	XX
chr10	56097133	56099486	.	2353	1	1	1	XX
chr10	57251425	57252531	.	1106	1	1	1	XX
chr10	57908783	57910743	.	1960	1	1	1	XX
chr10	57960318	57961479	.	1161	1	1	1	XX
chr10	58275015	58275928	.	913	1	1	0	X0
chr10	58683684	58685599	.	1915	1	1	1	XX
chr10	58785997	58787576	.	1579	1	1	1	XX
chr10	59040696	59041615	.	919	1	1	0	X0
chr10	59078198	59079304	.	1106	1	1	1	XX
chr10	5912879	5913989	.	1110	1	1	1	XX
chr10	5914120	5915000	.	880	1	1	1	XX
chr10	59165224	59166144	.	920	1	1	1	XX
chr10	59341999	59343568	.	1569	1	1	1	XX
chr10	59412794	59415565	.	2771	1	1	1	XX
chr10	59464822	59466758	.	1936	1	1	1	XX
chr10	5957340	5958513	.	1173	1	1	1	XX
chr10	59740105	59741332	.	1227	1	2	1	XX
chr10	59741834	59742634	.	800	1	2	1	XX
chr10	60214593	60215650	.	1057	1	1	1	XX
