,MaxDensityIndex,MaxDensityDiff,MaxIndex,Max,SumIndex,Sum,V1,V2,V3,V4,V5,V6,V7,V8
1,70,20,12044,0.001685,6500.5,0.024152,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,3659078,3664078,XKR4:NM_001011874,0,-
2,99,49,1184,0.000493,2975,0.013475,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,4347972,4352972,RP1:NM_011283,0,-
3,47,3,34317,0.011464,33287,0.156145,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,4483993,4488993,SOX17:NM_011441,0,-
4,47,3,37291,0.019525,36374,0.242235,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,4773306,4778306,MRPL15:NM_025300:NM_001177658:NR_033530,0,-
5,56,6,32405.5,0.007462,32499,0.134928,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,4795473,4800473,LYPLA1:NM_008866,0,+
6,48,2,39127,0.026486,36381,0.242478,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,4845274,4850274,TCEA1:NM_001159750:NM_011541:NM_001159751,0,+
7,16,34,9674.5,0.001565,13803,0.04149,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,5006959,5011959,RGS20:NM_021374,0,-
8,47,3,33534,0.009853,30991,0.099097,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,5070753,5075753,ATP6V1H:NM_133826,0,+
9,60,10,7474.5,0.001444,6094,0.022924,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,5576073,5581073,OPRK1:NM_011011,0,+
10,78,28,3516.5,0.000963,7881,0.027942,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,5904978,5909978,NPBWR1:NM_010342,0,-
11,47,3,36709.5,0.017686,35911,0.228031,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,6202242,6207242,RB1CC1:NM_009826,0,+
12,87,37,5128,0.001133,4152.5,0.017005,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,6717631,6722631,ST18:NM_173868,0,+
13,49,1,37935.5,0.021767,41615,0.525779,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,7076500,7081500,PCMTD1:NM_183028,0,+
14,54,4,2503,0.000839,6130,0.023019,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,9287310,9292310,SNTG1:NM_027671,0,-
15,49,1,41212,0.0417,40490,0.418757,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,9532988,9537988,RRS1:NM_021511,0,+
16,1,49,41028,0.039594,34739,0.195895,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,9535626,9540626,ADHFE1:NM_175236:NR_027664,0,+
17,97,47,4032.5,0.001071,6541,0.024273,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,9618672,9623672,AC103620.1:NR_015470,0,-
18,74,24,5477,0.001203,10360,0.033966,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,9588847,9593847,3110035E14RIK:NM_178399,0,+
19,38,12,33417,0.009564,33994,0.175889,refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed,DNase1HS_8846_bed,chr1,9687789,9692789,MYBL1:NM_008651,0,-
