# This file is generated by MACS								
# ARGUMENTS LIST:								
# name = 11889.r1.32.1e-05								
# format = BED								
# ChIP-seq file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/11889.8/macs/../subsample/sample/27277536/11889.r1.bed								
# control file = /projects/genauhpc/markus/Busslinger/2012Jul02/results/11889.8/macs/../subsample/input/22477991/10195.6.pe76.36.bowtie.r1.bed								
# effective genome size = 2.65e+09								
# tag size = 36								
# band width = 300								
# model fold = 17								
# pvalue cutoff = 1.00e-05								
# Ranges for calculating regional lambda are : peak_region,1000,5000,10000								
# unique tags in treatment: 25445452								
# total tags in treatment: 27277536								
# unique tags in control: 19975494								
# total tags in control: 22477991								
# d = 174								
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr1	7386974	7388783	1810	821	77	220.79	8.17	7.79
chr1	9535058	9536388	1331	548	50	72.82	4.51	9.09
chr1	9823123	9824642	1520	594	100	306.99	15.79	10.65
chr1	9837929	9839085	1157	758	49	68.74	5.22	10.8
chr1	9933802	9934953	1152	421	42	68.17	5.14	11.12
chr1	10029037	10030068	1032	653	44	104.9	7.66	5.16
chr1	10222905	10223736	832	504	27	68.13	6.6	11.16
chr1	13257379	13257995	617	332	23	51.42	5.53	29.22
chr1	13325486	13326738	1253	806	54	133.5	8.66	5.17
chr1	13362419	13363926	1508	421	68	158.91	6.75	5.49
chr1	13579147	13580654	1508	1011	89	315.21	14.27	11
chr1	13583148	13583990	843	368	48	80.97	7.61	6.93
chr1	13590200	13591198	999	518	76	207.9	11.7	7.15
chr1	13637703	13638489	787	461	64	204.62	12.13	7.17
chr1	14125047	14125958	912	557	34	69.34	6.63	10.48
chr1	14133576	14134642	1067	675	52	67.83	5.31	11.36
chr1	14585516	14586493	978	677	96	416.27	19.78	15.15
chr1	14914418	14915553	1136	692	48	120.58	6.77	5.05
chr1	16095038	16096623	1586	1255	60	61.87	3.54	15.15
chr1	16509049	16509613	565	398	21	58.72	5.51	18.16
chr1	16646569	16647468	900	455	34	59.35	4.89	17.45
chr1	16678216	16679395	1180	584	66	231.04	9.7	8.14
chr1	17596451	17597243	793	305	31	59.65	5.74	17.18
chr1	20880582	20881432	851	617	33	60.79	5.54	16.11
chr1	23389988	23390936	949	413	45	151.92	10.37	5.27
chr1	23928724	23929706	983	562	39	122.95	9.59	4.98
chr1	24553799	24554915	1117	822	43	130.37	7.2	5.19
chr1	24560212	24560912	701	272	25	51.53	5.53	28.96
chr1	24579140	24579991	852	460	37	88.23	6.56	5.85
chr1	24593124	24594109	986	292	34	86.18	6.2	6.08
chr1	24685145	24685672	528	170	17	51.57	5.36	28.9
chr1	31005818	31006410	593	224	19	56.28	6	21.15
chr1	31006712	31007505	794	435	27	64.2	5.51	13.44
chr1	33635019	33635981	963	473	40	78.48	8.27	7.31
chr1	33726058	33727765	1708	1048	79	113.18	5.71	4.93
chr1	33870539	33871894	1356	748	62	188.57	9.52	6.33
chr1	33960333	33961279	947	453	71	316.11	11.97	11.09
chr1	34490774	34492234	1461	955	66	186.3	8.83	6.27
chr1	34516251	34517594	1344	700	50	61.74	3.47	15.19
chr1	34528686	34530068	1383	812	56	95.82	5.01	5.38
chr1	34567016	34568451	1436	699	74	115.05	6.49	4.93
chr1	34579016	34579679	664	322	25	64.99	6.24	12.66
chr1	34636349	34636809	461	193	17	50.12	6.08	32.1
chr1	34731022	34731937	916	455	45	114.25	11.67	4.91
chr1	34735126	34736873	1748	610	88	201.26	8.64	7
chr1	34739357	34740373	1017	483	75	287.27	15.04	10.34
chr1	34858316	34859718	1403	1029	60	79.82	4.21	7.17
chr1	34906652	34907874	1223	893	43	101.07	6.87	5.2
chr1	35394855	35395760	906	446	36	85.81	5.81	6.17
chr1	35870291	35871163	873	446	40	84.29	6.45	6.43
chr1	36109275	36110185	911	294	39	76.54	5.46	7.66
chr1	36124708	36125746	1039	717	41	61.1	5.21	15.78
chr1	36129749	36130502	754	401	28	60.45	5.16	16.42
chr1	36320624	36321747	1124	578	62	110.41	7.09	4.95
chr1	36327082	36327909	828	455	38	54.2	6.13	24.15
chr1	36352965	36354806	1842	1422	110	180.77	5.54	6.2
chr1	36364367	36365594	1228	658	63	76.17	5.64	7.75
chr1	36425481	36426581	1101	612	62	156.38	7.98	5.3
chr1	36567804	36569732	1929	465	90	160.11	6.94	5.57
chr1	36613263	36614816	1554	1064	83	165.44	8.32	5.78
chr1	36645091	36647424	2334	474	102	198.25	6.19	6.83
chr1	36647931	36650472	2542	522	104	68.53	3.51	10.92
