name	chr	start	end	width	kwidth	read_region_sum	reads_per_width	reads_per_mil	reads_per_milp	reads_per_kwidth	reads_per_kwidthp	reads_per_kwidth_per_mil	reads_per_kwidth_per_milp	reads_per_kwidth_per_milp_l	norm_sigmoid	norm_zscore
isl_1	chr1	10096713	10096781	69	0.069	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_10	chr1	54934488	54934536	49	0.049	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_100	chr10	116285603	116285667	65	0.065	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_101	chr10	116291445	116291493	49	0.049	2	0.0408163265306122	20.1914146105076	1614.20500403551	40.8163265306122	32942.9592660309	412.069685928727	32942.9592660309	761616.480927333	0.599696875376913	0.691769407975829
isl_102	chr10	116335524	116335561	38	0.038	2	0.0526315789473684	20.1914146105076	1614.20500403551	52.6315789473684	42479.0790535661	531.35301606599	42479.0790535661	982084.409616824	0.599696875376913	0.691769407975829
isl_103	chr10	116358025	116358069	45	0.045	2	0.0444444444444444	20.1914146105076	1614.20500403551	44.4444444444444	35871.2223119003	448.698102455725	35871.2223119003	829315.723676429	0.599696875376913	0.691769407975829
isl_104	chr10	116418619	116418665	47	0.047	2	0.0425531914893617	20.1914146105076	1614.20500403551	42.5531914893617	34344.7873199045	429.604566181013	34344.7873199045	794025.692881688	0.599696875376913	0.691769407975829
isl_105	chr10	116432642	116432715	74	0.074	4	0.0540540540540541	40.3828292210152	3228.41000807103	54.0540540540541	43627.1622712301	545.713908392098	43627.1622712301	1008627.23149836	0.691769407975829	0.834354580627779
isl_106	chr10	116433237	116433293	57	0.057	1	0.0175438596491228	10.0957073052538	807.102502017756	17.5438596491228	14159.6930178554	177.117672021997	14159.6930178554	327361.469872275	0.550354005705923	0.599696875376913
isl_107	chr10	116433563	116433618	56	0.056	2	0.0357142857142857	20.1914146105076	1614.20500403551	35.7142857142857	28825.089357777	360.560975187636	28825.089357777	666414.420811416	0.599696875376913	0.691769407975829
isl_108	chr10	116454346	116454389	44	0.044	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_109	chr10	116459401	116459443	43	0.043	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_11	chr1	55074324	55074378	55	0.055	2	0.0363636363636364	20.1914146105076	1614.20500403551	36.3636363636364	29349.1818915548	367.116629281957	29349.1818915548	678531.046644351	0.599696875376913	0.691769407975829
isl_110	chr10	116461074	116461112	39	0.039	1	0.0256410256410256	10.0957073052538	807.102502017756	25.6410256410256	20694.9359491732	258.864289878303	20694.9359491732	478451.379044094	0.550354005705923	0.599696875376913
isl_111	chr10	116466877	116466919	43	0.043	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_112	chr10	116490408	116490459	52	0.052	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_113	chr10	116510451	116510501	51	0.051	1	0.0196078431372549	10.0957073052538	807.102502017756	19.6078431372549	15825.5392552501	197.955045201055	15825.5392552501	365874.583974895	0.550354005705923	0.599696875376913
isl_114	chr10	116510927	116510967	41	0.041	0	0	0	0	0	0	0	0	0	0.5	0.5
isl_115	chr10	116542986	116543039	54	0.054	1	0.0185185185185185	10.0957073052538	807.102502017756	18.5185185185185	14946.3426299584	186.957542689885	14946.3426299584	345548.218198512	0.550354005705923	0.599696875376913
isl_116	chr10	116561035	116561100	66	0.066	0	0	0	0	0	0	0	0	0	0.5	0.5
