chromosome	source	feature	start	end	length	multiplicity	tracknum	count	name	strand	from	to	id	id_orig	sum	code
chr10	multovl	overlap	100051293	100052181	888	0	1	0	-	.	100051293	100052181	-	-	0	XX
chr10	multovl	overlap	10277153	10278255	1102	0	1	0	-	.	10277153	10278255	-	-	0	XX
chr10	multovl	overlap	105009796	105011204	1408	0	1	0	-	.	105009796	105011204	-	-	0	XX
chr10	multovl	overlap	105011433	105012223	790	0	1	0	-	.	105011433	105012223	-	-	0	XX
chr10	multovl	overlap	105278071	105279420	1349	0	1	0	-	.	105278071	105279420	-	-	0	XX
chr10	multovl	overlap	107589618	107605998	16380	0	1	0	-	.	107589618	107605998	-	-	0	X0
chr10	multovl	overlap	10869154	10870526	1372	0	1	0	-	.	10869154	10870526	-	-	0	XX
chr10	multovl	overlap	11000196	11001306	1110	0	1	0	-	.	11000196	11001306	-	-	0	XX
chr10	multovl	overlap	11001344	11002445	1101	0	1	0	-	.	11001344	11002445	-	-	0	XX
chr10	multovl	overlap	110182423	110183207	784	0	1	0	-	.	110182423	110183207	-	-	0	XX
chr10	multovl	overlap	110356604	110357982	1378	0	1	0	-	.	110356604	110357982	-	-	0	X0
chr10	multovl	overlap	110445886	110446902	1016	0	1	0	-	.	110445886	110446902	-	-	0	XX
chr10	multovl	overlap	110601724	110602951	1227	0	1	0	-	.	110601724	110602951	-	-	0	XX
chr10	multovl	overlap	110735355	110736371	1016	0	1	0	-	.	110735355	110736371	-	-	0	XX
chr10	multovl	overlap	110910398	110911382	984	0	1	0	-	.	110910398	110911382	-	-	0	XX
chr10	multovl	overlap	110943509	110945702	2193	0	1	0	-	.	110943509	110945702	-	-	0	XX
chr10	multovl	overlap	111409543	111410806	1263	0	1	0	-	.	111409543	111410806	-	-	0	XX
chr10	multovl	overlap	112365261	112366136	875	0	1	0	-	.	112365261	112366136	-	-	0	XX
chr10	multovl	overlap	114687725	114688663	938	0	1	0	-	.	114687725	114688663	-	-	0	XX
chr10	multovl	overlap	114750837	114753339	2502	0	1	0	-	.	114750837	114753339	-	-	0	XX
chr10	multovl	overlap	114798835	114799373	538	0	1	0	-	.	114798835	114799373	-	-	0	XX
chr10	multovl	overlap	114820894	114823322	2428	0	1	0	-	.	114820894	114823322	-	-	0	XX
chr10	multovl	overlap	116017455	116018277	822	0	1	0	-	.	116017455	116018277	-	-	0	X0
chr10	multovl	overlap	116018520	116019209	689	0	1	0	-	.	116018520	116019209	-	-	0	XX
chr10	multovl	overlap	116574098	116596179	22081	0	1	0	-	.	116574098	116596179	-	-	0	XX
chr10	multovl	overlap	116828858	116832959	4101	0	1	0	-	.	116828858	116832959	-	-	0	X0
chr10	multovl	overlap	117226532	117233124	6592	0	1	0	-	.	117226532	117233124	-	-	0	X0
chr10	multovl	overlap	118305628	118306255	627	0	1	0	-	.	118305628	118306255	-	-	0	X0
chr10	multovl	overlap	118675711	118677180	1469	0	1	0	-	.	118675711	118677180	-	-	0	XX
chr10	multovl	overlap	118677203	118677989	786	0	1	0	-	.	118677203	118677989	-	-	0	XX
chr10	multovl	overlap	119548974	119550031	1057	0	1	0	-	.	119548974	119550031	-	-	0	XX
chr10	multovl	overlap	119645716	119646897	1181	0	1	0	-	.	119645716	119646897	-	-	0	XX
chr10	multovl	overlap	119663741	119665333	1592	0	1	0	-	.	119663741	119665333	-	-	0	XX
chr10	multovl	overlap	119911048	119912017	969	0	1	0	-	.	119911048	119912017	-	-	0	XX
chr10	multovl	overlap	119912218	119915051	2833	0	1	0	-	.	119912218	119915051	-	-	0	XX
chr10	multovl	overlap	120335250	120335857	607	0	1	0	-	.	120335250	120335857	-	-	0	X0
chr10	multovl	overlap	120335867	120336489	622	0	1	0	-	.	120335867	120336489	-	-	0	X0
chr10	multovl	overlap	120414868	120416460	1592	0	1	0	-	.	120414868	120416460	-	-	0	XX
chr10	multovl	overlap	120802154	120803616	1462	0	1	0	-	.	120802154	120803616	-	-	0	XX
chr10	multovl	overlap	121022387	121023714	1327	0	1	0	-	.	121022387	121023714	-	-	0	XX
chr10	multovl	overlap	121023837	121024705	868	0	1	0	-	.	121023837	121024705	-	-	0	XX
chr10	multovl	overlap	121062109	121063648	1539	0	1	0	-	.	121062109	121063648	-	-	0	XX
chr10	multovl	overlap	121176276	121177796	1520	0	1	0	-	.	121176276	121177796	-	-	0	XX
chr10	multovl	overlap	121483576	121484698	1122	0	1	0	-	.	121483576	121484698	-	-	0	XX
chr10	multovl	overlap	121533359	121534284	925	0	1	0	-	.	121533359	121534284	-	-	0	X0
chr10	multovl	overlap	121885481	121887162	1681	0	1	0	-	.	121885481	121887162	-	-	0	XX
chr10	multovl	overlap	122348454	122348948	494	0	1	0	-	.	122348454	122348948	-	-	0	XX
chr10	multovl	overlap	122421239	122421981	742	0	1	0	-	.	122421239	122421981	-	-	0	XX
chr10	multovl	overlap	122422186	122422940	754	0	1	0	-	.	122422186	122422940	-	-	0	XX
chr10	multovl	overlap	122512147	122513248	1101	0	1	0	-	.	122512147	122513248	-	-	0	XX
chr10	multovl	overlap	122632515	122633283	768	0	1	0	-	.	122632515	122633283	-	-	0	XX
chr10	multovl	overlap	122633682	122634861	1179	0	1	0	-	.	122633682	122634861	-	-	0	XX
chr10	multovl	overlap	125403180	125404503	1323	0	1	0	-	.	125403180	125404503	-	-	0	XX
chr10	multovl	overlap	12586709	12589519	2810	0	1	0	-	.	12586709	12589519	-	-	0	XX
chr10	multovl	overlap	126337756	126338406	650	0	1	0	-	.	126337756	126338406	-	-	0	XX
chr10	multovl	overlap	126342521	126343094	573	0	1	0	-	.	126342521	126343094	-	-	0	XX
chr10	multovl	overlap	12642232	12643477	1245	0	1	0	-	.	12642232	12643477	-	-	0	X0
chr10	multovl	overlap	126467040	126468226	1186	0	1	0	-	.	126467040	126468226	-	-	0	XX
chr10	multovl	overlap	126477770	126479666	1896	0	1	0	-	.	126477770	126479666	-	-	0	XX
chr10	multovl	overlap	126500599	126502151	1552	0	1	0	-	.	126500599	126502151	-	-	0	XX
chr10	multovl	overlap	126506109	126507382	1273	0	1	0	-	.	126506109	126507382	-	-	0	XX
chr10	multovl	overlap	126507523	126508420	897	0	1	0	-	.	126507523	126508420	-	-	0	XX
chr10	multovl	overlap	126515863	126516501	638	0	1	0	-	.	126515863	126516501	-	-	0	X0
chr10	multovl	overlap	126557241	126558346	1105	0	1	0	-	.	126557241	126558346	-	-	0	XX
chr10	multovl	overlap	126625118	126627213	2095	0	1	0	-	.	126625118	126627213	-	-	0	XX
chr10	multovl	overlap	126631803	126633572	1769	0	1	0	-	.	126631803	126633572	-	-	0	XX
