chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr1	4342334	4342798	465	273	10	59.52	10.67	2.07
chr1	4561542	4562018	477	133	15	104.90	14.93	1.57
chr1	4775517	4776106	590	468	18	57.91	6.06	2.28
chr1	4797540	4798188	649	396	33	223.21	23.47	3.12
chr1	4847475	4847991	517	231	15	84.75	11.67	1.60
chr1	5072869	5073407	539	360	15	68.48	13.17	1.66
chr1	5160365	5160721	357	124	10	62.18	10.48	1.85
chr1	6204380	6204739	360	235	10	70.31	12.80	1.69
chr1	6372874	6373341	468	156	11	67.99	12.80	1.67
chr1	7078739	7079393	655	332	17	96.30	15.44	1.61
chr1	7090540	7091137	598	283	12	57.82	14.67	2.30
chr1	7153707	7154357	651	525	21	102.11	14.67	1.61
chr1	7387662	7388581	920	405	42	324.48	32.00	5.93
chr1	9440531	9440918	388	266	10	67.11	17.07	1.70
chr1	9459385	9459683	299	167	8	58.17	12.80	2.24
chr1	9505664	9505930	267	134	8	58.23	15.44	2.25
chr1	9535449	9536321	873	564	31	119.98	11.52	1.62
chr1	9737901	9738995	1095	743	35	140.40	13.44	1.99
chr1	9823334	9824072	739	346	28	126.63	15.17	1.73
chr1	9838368	9838749	382	205	16	78.61	11.11	1.54
chr1	9933913	9934371	459	328	17	109.13	17.92	1.55
chr1	10027842	10028392	551	422	16	58.88	6.06	2.20
chr1	10029469	10029866	398	271	11	62.13	9.56	1.85
chr1	10029875	10030497	623	371	19	95.04	15.94	1.61
chr1	10222165	10223519	1355	638	43	216.80	17.46	3.04
chr1	12981000	12981484	485	219	12	66.62	10.73	1.71
chr1	12982595	12983045	451	228	11	54.74	12.22	2.78
chr1	13257534	13257980	447	275	11	51.67	11.28	3.36
chr1	13362262	13363828	1567	274	56	185.00	10.08	2.43
chr1	13364445	13364870	426	256	12	65.27	9.17	1.74
chr1	13579508	13580496	989	643	50	322.94	33.07	5.85
chr1	13583188	13583741	554	267	21	114.35	14.40	1.54
chr1	13590476	13591073	598	191	32	125.89	12.00	1.71
chr1	13637806	13638410	605	328	21	101.54	11.00	1.62
chr1	13650183	13650911	729	392	28	140.84	18.33	2.00
chr1	14133758	14134625	868	544	27	137.68	13.75	1.96
chr1	14299628	14300163	536	400	30	175.68	18.86	2.13
chr1	14496429	14496903	475	131	11	51.61	13.47	3.37
chr1	14585965	14586359	395	153	11	75.82	14.93	1.59
chr1	14745109	14745861	753	487	22	98.61	10.27	1.63
chr1	14908521	14909084	564	339	17	52.08	9.10	3.25
chr1	15475432	15475810	379	184	9	58.84	10.67	2.21
chr1	15795588	15796395	808	546	24	97.07	10.66	1.60
chr1	16082869	16083292	424	261	12	54.95	8.56	2.71
chr1	16094706	16095285	580	449	15	62.01	7.59	1.87
chr1	16095402	16096580	1179	130	37	134.23	9.46	1.88
chr1	16167588	16168151	564	291	14	60.40	9.51	2.00
chr1	16217935	16218592	658	338	22	83.27	11.58	1.57
chr1	16334756	16335091	336	209	10	57.46	13.20	2.33
chr1	16502968	16503498	531	237	18	91.82	16.87	1.64
chr1	16509871	16510263	393	198	10	50.40	10.09	3.60
chr1	16608451	16609465	1015	421	29	157.56	11.00	1.92
chr1	16646734	16647367	634	298	19	71.99	9.43	1.64
chr1	16654932	16655547	616	309	13	61.52	15.71	1.93
chr1	16678477	16679096	620	321	16	72.80	14.38	1.58
chr1	17135292	17135724	433	303	11	51.41	8.15	3.39
chr1	20880003	20880903	901	643	30	150.52	14.87	1.95
chr1	20880960	20881533	574	215	16	71.03	16.13	1.68
chr1	20941263	20941919	657	350	16	65.88	12.22	1.74
chr1	21069347	21069995	649	332	28	204.95	23.16	2.69
chr1	21544612	21545107	496	323	14	92.74	21.33	1.66
chr1	21950618	21951663	1046	853	28	86.49	9.86	1.61
chr1	22540070	22540532	463	336	11	61.62	12.83	1.93
chr1	22731099	22731449	351	123	8	52.60	12.80	3.19
chr1	23263406	23263824	419	311	11	66.12	14.67	1.72
chr1	23390075	23390425	351	231	10	54.08	11.28	2.89
chr1	23727228	23727526	299	133	12	66.34	12.06	1.72
chr1	23768881	23769563	683	384	21	70.09	8.25	1.68
chr1	23799675	23800059	385	133	11	63.62	15.94	1.78
chr1	23872034	23872579	546	193	12	67.18	12.22	1.69
chr1	23928449	23929502	1054	721	31	156.16	13.16	1.89
chr1	24012238	24012735	498	286	12	59.85	11.16	2.04
chr1	24106788	24107335	548	303	15	88.52	13.16	1.62
chr1	24618274	24623121	4848	2260	3240	2372.25	3.07	100
chr1	24685220	24685883	664	193	22	150.27	21.33	1.93
chr1	30930410	30931074	665	363	19	79.38	13.44	1.56
chr1	31005807	31006346	540	253	12	69.98	12.80	1.67
chr1	31006545	31007265	721	361	25	153.51	21.15	1.93
chr1	33338577	33339109	533	308	16	91.51	13.33	1.65
chr1	33635313	33635953	641	285	22	144.41	23.16	1.89
chr1	33726247	33726769	523	354	16	89.88	11.16	1.61
chr1	33776641	33777033	393	294	9	57.46	10.67	2.34
chr1	33870695	33871631	937	586	26	136.52	13.51	1.93
chr1	34490980	34492191	1212	899	28	57.58	7.33	2.30
chr1	34529234	34530348	1115	261	39	102.10	8.92	1.60
chr1	34567338	34568392	1055	479	39	183.84	12.22	2.38
chr1	34593806	34594271	466	210	11	51.56	8.80	3.36
chr1	34612912	34613184	273	130	8	54.36	12.22	2.84
chr1	34636167	34636753	587	391	16	66.32	8.56	1.72
chr1	34644509	34645060	552	337	15	63.82	12.43	1.75
chr1	34781217	34781789	573	288	14	63.65	8.80	1.77
chr1	34906559	34907260	702	305	24	148.14	25.04	1.95
chr1	34985350	34985796	447	124	11	50.06	8.15	3.70
chr1	35821669	35821991	323	170	9	50.74	10.27	3.56
chr1	35882482	35883007	526	169	15	78.52	12.22	1.55
chr1	35884049	35884816	768	386	34	218.87	31.20	3.12
chr1	36109368	36109964	597	264	24	81.45	11.67	1.60
chr1	36121662	36122291	630	261	19	63.42	8.25	1.77
chr1	36300834	36301525	692	387	21	105.41	20.53	1.53
chr1	36308267	36308655	389	134	12	67.70	10.27	1.66
