chr	start	end	length	summit	tags	X.10.log10.pvalue	fold_enrichment	FDR	start+summit-150bp	start+summit+150bp
chr17	39979846	39985874	6029	1360	6198	3100	5.49	100	39981056	39981356
chr1	24618274	24623121	4848	2260	3240	2372.25	3.07	100	24620384	24620684
chr7	25668951	25670087	1137	349	187	1807.16	60.76	100	25669150	25669450
chr8	87223496	87224293	798	415	162	1389.68	56.57	100	87223761	87224061
chr17	36368106	36368714	609	143	134	1187.96	40.83	100	36368099	36368399
chrX	166434540	166436592	2053	1012	246	1123.44	14.67	100	166435402	166435702
chr4	79648297	79651205	2909	2559	812	1113.01	5.45	100	79650706	79651006
chr17	27691945	27693740	1796	551	140	1088.24	40.12	100	27692346	27692646
chr9	57819489	57820617	1129	780	129	1044.74	34.63	100	57820119	57820419
chr5	135739524	135741105	1582	1089	163	1012.89	47.13	90	135740463	135740763
chr7	89919388	89920654	1267	1120	172	998.5	22.49	81.82	89920358	89920658
chr2	152614416	152615700	1285	290	132	928.74	34.05	75	152614556	152614856
chr3	5860528	5860925	398	174	157	925.71	18.03	69.23	5860552	5860852
chr15	74766462	74767677	1216	736	129	924.82	56.18	64.29	74767048	74767348
chr14	34002201	34003817	1617	1051	132	903.59	44	73.33	34003102	34003402
chr17	35653169	35654281	1113	650	96	824.65	44.9	75	35653669	35653969
chr9	103390471	103392005	1535	593	139	811.43	37.4	70.59	103390914	103391214
chr4	140539031	140540021	991	565	98	795	54.71	72.22	140539446	140539746
chr10	79620986	79623327	2342	278	145	793.3	28.29	68.42	79621114	79621414
chr8	125190210	125192543	2334	1895	150	759.01	25.32	65	125191955	125192255
chr15	78402785	78404193	1409	535	134	758.92	21.33	61.9	78403170	78403470
chr6	114824660	114825567	908	555	100	757.06	44	59.09	114825065	114825365
chr5	147072469	147073032	564	400	173	754.45	10.19	56.52	147072719	147073019
chr11	108872653	108873699	1047	583	301	727.93	13.04	54.17	108873086	108873386
chr4	144957155	144957915	761	250	87	722.61	50.28	52	144957255	144957555
chr17	52740059	52741775	1717	634	96	722.2	55	50	52740543	52740843
chr13	29049621	29051970	2350	639	120	721.76	32.43	48.15	29050110	29050410
chr17	45755717	45757075	1359	710	101	721.16	42.78	46.43	45756277	45756577
chr8	73276033	73277595	1563	1295	114	711.94	30.38	44.83	73277178	73277478
chr6	134847549	134848941	1393	898	134	710.87	28.72	43.33	134848297	134848597
chr11	5737292	5738371	1080	479	86	705.65	41.06	41.94	5737621	5737921
chr9	114690153	114691411	1259	592	102	700.23	23.05	40.62	114690595	114690895
chr7	91031864	91033239	1376	1080	92	699.1	34.32	39.39	91032794	91033094
chr19	6397474	6400244	2771	1154	137	689.66	22.92	38.24	6398478	6398778
chr9	71980573	71981780	1208	313	85	683.6	46.23	37.14	71980736	71981036
chr14	55045389	55046240	852	337	82	676.34	56.22	36.11	55045576	55045876
chr7	7230290	7231458	1169	583	90	657.91	33	35.14	7230723	7231023
chr8	20019706	20020658	953	723	85	656.86	51.25	34.21	20020279	20020579
chr17	36002602	36004641	2040	162	126	651.7	18.7	33.33	36002614	36002914
chr10	59630773	59632498	1726	1323	122	647.73	21.18	32.5	59631946	59632246
chr15	57965918	57967107	1190	1003	86	644.37	36.66	31.71	57966771	57967071
chr18	10725248	10725843	596	298	62	642.79	71.5	30.95	10725396	10725696
chr15	79880352	79881072	721	375	78	641.83	37.74	32.56	79880577	79880877
chr15	8518148	8519749	1602	1235	107	639.84	50.19	31.82	8519233	8519533
chr15	98314265	98315491	1227	905	88	636.48	52.7	31.11	98315020	98315320
chr19	8893386	8895581	2196	395	102	634.73	30.29	30.43	8893631	8893931
chr14	21748067	21749322	1256	405	89	621.02	48.89	29.79	21748322	21748622
chr11	75228475	75229233	759	297	82	618.46	43.08	29.17	75228622	75228922
chr2	22443770	22446264	2495	1016	1210	615.25	3.82	28.57	22444636	22444936
chr10	127961025	127963359	2335	913	115	603.93	25.67	30	127961788	127962088
chr1	182780423	182781484	1062	421	107	598.11	21.39	29.41	182780694	182780994
chr10	68257979	68258894	916	394	67	593.3	53.16	28.85	68258223	68258523
chr15	99082060	99082918	859	473	72	592.45	53.96	28.3	99082383	99082683
chr8	86271431	86273322	1892	501	115	588.39	27.5	27.78	86271782	86272082
chr12	52792641	52793638	998	484	65	585.97	49.07	27.27	52792975	52793275
chr11	35691635	35692946	1312	210	73	573.42	47.56	26.79	35691695	35691995
chr4	135732987	135734857	1871	327	112	565.14	21.46	26.32	135733164	135733464
chr11	98319846	98321427	1582	888	105	564.13	28.41	25.86	98320584	98320884
chr10	80140564	80141612	1049	550	79	562.67	31.93	25.42	80140964	80141264
chr12	27153794	27155032	1239	372	70	551.34	45.13	25	27154016	27154316
chr11	88000871	88001774	904	435	77	549.52	32.47	24.59	88001156	88001456
chr5	121028484	121030476	1993	303	116	546.78	27.51	24.19	121028637	121028937
chr19	53603091	53605016	1926	311	86	544.1	33.17	23.81	53603252	53603552
chr15	59478774	59481007	2234	424	110	543.43	26.96	23.44	59479048	59479348
chr1	133903976	133905331	1356	949	80	541.41	38.74	23.08	133904775	133905075
chr12	103995567	103996610	1044	458	70	540.89	48.89	22.73	103995875	103996175
chr19	4148329	4149262	934	242	81	539.32	31.16	22.39	4148421	4148721
chr7	30879658	30880482	825	320	77	536.44	31.16	22.06	30879828	30880128
chr2	33627826	33628731	906	345	68	534.39	55.73	21.74	33628021	33628321
chr4	139294162	139295310	1149	525	79	533.5	35.44	21.43	139294537	139294837
chr10	128002655	128003749	1095	570	83	531.07	42.95	21.13	128003075	128003375
chr4	133181140	133182455	1316	765	102	530.84	19.8	20.83	133181755	133182055
chr14	26278082	26281226	3145	1757	107	529.13	17.05	20.55	26279689	26279989
chr4	40894988	40895925	938	562	80	527.59	36.66	20.27	40895400	40895700
chr17	28827721	28829739	2019	676	89	527.33	28.69	20	28828247	28828547
chr1	90173471	90175416	1946	723	237	526.78	19.7	19.74	90174044	90174344
chrX	166431791	166434395	2605	342	228	524.22	8.15	19.48	166431983	166432283
chr11	69793508	69795080	1573	629	90	518.8	25.21	19.23	69793987	69794287
chr16	17530461	17531499	1039	786	85	518.42	37.25	18.99	17531097	17531397
chr12	56490231	56491336	1106	679	81	517.63	45.04	18.75	56490760	56491060
chr2	173160473	173162029	1557	349	95	517.51	21.8	18.52	173160672	173160972
chr2	151805450	151806632	1183	464	100	517.41	38	18.29	151805764	151806064
chr16	94747773	94748911	1139	960	65	516.24	30.08	18.07	94748583	94748883
chr5	140252765	140253657	893	379	94	514.78	28.2	17.86	140252994	140253294
chr5	32714646	32716392	1747	953	98	513.87	31.43	17.65	32715449	32715749
chr10	95170315	95171180	866	469	83	511.52	24.2	17.44	95170634	95170934
chr7	88357025	88358831	1807	384	86	510.51	27.32	17.24	88357259	88357559
chr4	105581691	105582623	933	421	70	509.28	30.55	17.05	105581962	105582262
chr7	29166805	29167477	673	269	74	506.47	31.98	16.85	29166924	29167224
